from,to,length,mode,source,target
6R3XD_101S,6R3XD_103S,90,transit,6R3XD_101,6R3XD_103
6R3XD_103N,6R3XD_101N,120,transit,6R3XD_103,6R3XD_101
6R3XD_103S,6R3XD_104S,90,transit,6R3XD_103,6R3XD_104
6R3XD_104N,6R3XD_103N,90,transit,6R3XD_104,6R3XD_103
6R3XD_104S,6R3XD_106S,90,transit,6R3XD_104,6R3XD_106
6R3XD_106N,6R3XD_104N,90,transit,6R3XD_106,6R3XD_104
6R3XD_106S,6R3XD_107S,90,transit,6R3XD_106,6R3XD_107
6R3XD_107N,6R3XD_106N,90,transit,6R3XD_107,6R3XD_106
6R3XD_107S,6R3XD_108S,60,transit,6R3XD_107,6R3XD_108
6R3XD_108N,6R3XD_107N,88,transit,6R3XD_108,6R3XD_107
6R3XD_108S,6R3XD_109S,90,transit,6R3XD_108,6R3XD_109
6R3XD_109N,6R3XD_108N,90,transit,6R3XD_109,6R3XD_108
6R3XD_109S,6R3XD_110S,90,transit,6R3XD_109,6R3XD_110
6R3XD_110N,6R3XD_109N,90,transit,6R3XD_110,6R3XD_109
6R3XD_110S,6R3XD_111S,90,transit,6R3XD_110,6R3XD_111
6R3XD_111N,6R3XD_110N,90,transit,6R3XD_111,6R3XD_110
6R3XD_111S,6R3XD_112S,129.72972972973,transit,6R3XD_111,6R3XD_112
6R3XD_112N,6R3XD_111N,120,transit,6R3XD_112,6R3XD_111
6R3XD_112S,6R3XD_113S,112.702702702703,transit,6R3XD_112,6R3XD_113
6R3XD_113N,6R3XD_112N,103.548387096774,transit,6R3XD_113,6R3XD_112
6R3XD_113S,6R3XD_114S,120,transit,6R3XD_113,6R3XD_114
6R3XD_114N,6R3XD_113N,120,transit,6R3XD_114,6R3XD_113
6R3XD_114S,6R3XD_115S,90,transit,6R3XD_114,6R3XD_115
6R3XD_115N,6R3XD_114N,90,transit,6R3XD_115,6R3XD_114
6R3XD_115S,6R3XD_116S,90,transit,6R3XD_115,6R3XD_116
6R3XD_116N,6R3XD_115N,112.702702702703,transit,6R3XD_116,6R3XD_115
6R3XD_116S,6R3XD_117S,147.906976744186,transit,6R3XD_116,6R3XD_117
6R3XD_117N,6R3XD_116N,127.297297297297,transit,6R3XD_117,6R3XD_116
6R3XD_117S,6R3XD_118S,60,transit,6R3XD_117,6R3XD_118
6R3XD_118N,6R3XD_117N,60,transit,6R3XD_118,6R3XD_117
6R3XD_118S,6R3XD_119S,60,transit,6R3XD_118,6R3XD_119
6R3XD_119N,6R3XD_118N,82.1052631578947,transit,6R3XD_119,6R3XD_118
6R3XD_119S,6R3XD_120S,120,transit,6R3XD_119,6R3XD_120
6R3XD_120N,6R3XD_119N,90,transit,6R3XD_120,6R3XD_119
6R3XD_120N,6R3XD_227N,280.909090909091,transit,6R3XD_120,6R3XD_227
6R3XD_120S,6R3XD_121S,120,transit,6R3XD_120,6R3XD_121
6R3XD_120S,6R3XD_123S,174.915254237288,transit,6R3XD_120,6R3XD_123
6R3XD_121N,6R3XD_120N,109.736842105263,transit,6R3XD_121,6R3XD_120
6R3XD_121S,6R3XD_122S,60,transit,6R3XD_121,6R3XD_122
6R3XD_122N,6R3XD_121N,75,transit,6R3XD_122,6R3XD_121
6R3XD_122S,6R3XD_123S,90,transit,6R3XD_122,6R3XD_123
6R3XD_123N,6R3XD_122N,104.615384615385,transit,6R3XD_123,6R3XD_122
6R3XD_123N,6R3XD_120N,180,transit,6R3XD_123,6R3XD_120
6R3XD_123S,6R3XD_124S,90,transit,6R3XD_123,6R3XD_124
6R3XD_123S,6R3XD_127S,275.689655172414,transit,6R3XD_123,6R3XD_127
6R3XD_124N,6R3XD_123N,65.3846153846154,transit,6R3XD_124,6R3XD_123
6R3XD_124S,6R3XD_125S,90,transit,6R3XD_124,6R3XD_125
6R3XD_125N,6R3XD_124N,90,transit,6R3XD_125,6R3XD_124
6R3XD_125S,6R3XD_126S,120,transit,6R3XD_125,6R3XD_126
6R3XD_126N,6R3XD_125N,120,transit,6R3XD_126,6R3XD_125
6R3XD_126S,6R3XD_127S,110,transit,6R3XD_126,6R3XD_127
