total_id,boarding_cost,modes,x,y,id
6R3XD_101N,192.857142857143,"[ ""1"" ]",-73.898583,40.889248,6R3XD_101
6R3XD_103N,186.206896551724,"[ ""1"" ]",-73.90087,40.884667,6R3XD_103
6R3XD_104N,186.206896551724,"[ ""1"" ]",-73.904834,40.878856,6R3XD_104
6R3XD_106N,180,"[ ""1"" ]",-73.909831,40.874561,6R3XD_106
6R3XD_107N,174.193548387097,"[ ""1"" ]",-73.915279,40.869444,6R3XD_107
6R3XD_108N,174.193548387097,"[ ""1"" ]",-73.918822,40.864621,6R3XD_108
6R3XD_109N,168.75,"[ ""1"" ]",-73.925536,40.860531,6R3XD_109
6R3XD_110N,168.75,"[ ""1"" ]",-73.929412,40.855225,6R3XD_110
6R3XD_111N,168.75,"[ ""1"" ]",-73.933596,40.849505,6R3XD_111
6R3XD_112N,163.636363636364,"[ ""1"" ]",-73.940133,40.840556,6R3XD_112
6R3XD_113N,168.75,"[ ""1"" ]",-73.94489,40.834041,6R3XD_113
6R3XD_114N,163.636363636364,"[ ""1"" ]",-73.95036,40.826551,6R3XD_114
6R3XD_115N,145.945945945946,"[ ""1"" ]",-73.953676,40.822008,6R3XD_115
6R3XD_116N,142.105263157895,"[ ""1"" ]",-73.958372,40.815581,6R3XD_116
6R3XD_117N,138.461538461538,"[ ""1"" ]",-73.96411,40.807722,6R3XD_117
6R3XD_118N,138.461538461538,"[ ""1"" ]",-73.966847,40.803967,6R3XD_118
6R3XD_119N,142.105263157895,"[ ""1"" ]",-73.968379,40.799446,6R3XD_119
6R3XD_120N,189.935064935065,"[ ""1"" ]",-73.972323,40.793919,6R3XD_120
6R3XD_121N,138.461538461538,"[ ""1"" ]",-73.976218,40.788644,6R3XD_121
6R3XD_122N,138.461538461538,"[ ""1"" ]",-73.979917,40.783934,6R3XD_122
6R3XD_123N,183.696675191816,"[ ""1"" ]",-73.98197,40.778453,6R3XD_123
6R3XD_124N,135,"[ ""1"" ]",-73.982209,40.77344,6R3XD_124
6R3XD_125N,135,"[ ""1"" ]",-73.981929,40.768247,6R3XD_125
6R3XD_126N,135,"[ ""1"" ]",-73.983849,40.761728,6R3XD_126
6R3XD_127N,183.668860551214,"[ ""1"" ]",-73.987495,40.75529,6R3XD_127
6R3XD_128N,182.305751439477,"[ ""1"" ]",-73.991057,40.750373,6R3XD_128
6R3XD_129N,131.707317073171,"[ ""1"" ]",-73.993365,40.747215,6R3XD_129
6R3XD_130N,131.707317073171,"[ ""1"" ]",-73.995657,40.744081,6R3XD_130
6R3XD_131N,131.707317073171,"[ ""1"" ]",-73.997871,40.74104,6R3XD_131
6R3XD_132N,179.607100764815,"[ ""1"" ]",-74.000201,40.737826,6R3XD_132
6R3XD_133N,131.707317073171,"[ ""1"" ]",-74.002906,40.733422,6R3XD_133
6R3XD_134N,128.571428571429,"[ ""1"" ]",-74.005367,40.728251,6R3XD_134
6R3XD_135N,128.571428571429,"[ ""1"" ]",-74.006277,40.722854,6R3XD_135
6R3XD_136N,128.571428571429,"[ ""1"" ]",-74.006886,40.719318,6R3XD_136
6R3XD_137N,177.160760587727,"[ ""1"" ]",-74.009266,40.715478,6R3XD_137
6R3XD_138N,128.571428571429,"[ ""1"" ]",-74.012188,40.711835,6R3XD_138
6R3XD_139N,128.571428571429,"[ ""1"" ]",-74.013783,40.707513,6R3XD_139
6R3XD_142N,128.571428571429,"[ ""1"" ]",-74.013664,40.702068,6R3XD_142
6R3XD_201N,257.142857142857,"[ ""1"" ]",-73.85062,40.903125,6R3XD_201
6R3XD_204N,257.142857142857,"[ ""1"" ]",-73.854376,40.898379,6R3XD_204
6R3XD_205N,245.454545454545,"[ ""1"" ]",-73.857473,40.893193,6R3XD_205
6R3XD_206N,245.454545454545,"[ ""1"" ]",-73.860341,40.888022,6R3XD_206
