segment_id,tree_distance_m,building_distance_m,tree_class,building_class,exposure_condition
SEG_0001,95.72249997707007,74.74121810114188,Tree Far,Building Far,Open Exposure
SEG_0002,74.11636501880788,65.74002169244866,Tree Far,Building Far,Open Exposure
SEG_0003,77.61518340952951,75.49723096742335,Tree Far,Building Far,Open Exposure
SEG_0004,12.55102606964756,14.860461410380905,Tree Near,Building Far,Low Visual Exposure
SEG_0005,46.68549417363226,37.32536376646286,Tree Far,Building Far,Open Exposure
SEG_0006,53.61156765783132,41.45093772935001,Tree Far,Building Far,Open Exposure
SEG_0007,47.85749475007925,28.0661076672344,Tree Far,Building Far,Open Exposure
SEG_0008,52.595827642723,13.825922288640017,Tree Far,Building Near,High Visual Exposure
SEG_0009,79.17651587366359,19.538796146727666,Tree Far,Building Far,Open Exposure
SEG_0010,83.50458747242854,11.012235142497756,Tree Far,Building Near,High Visual Exposure
SEG_0011,32.57475082943689,10.260044307198049,Tree Near,Building Near,Screened Exposure
SEG_0012,11.857154462115417,9.190260372983825,Tree Near,Building Near,Screened Exposure
SEG_0013,12.171935734688425,15.2490253806446,Tree Near,Building Far,Low Visual Exposure
SEG_0014,76.96777637030232,8.863938910711992,Tree Far,Building Near,High Visual Exposure
SEG_0015,9.148003454711102,13.491110676828363,Tree Near,Building Near,Screened Exposure
SEG_0016,83.21229384629464,8.522286718792794,Tree Far,Building Near,High Visual Exposure
SEG_0017,8.52317846854574,14.94080543171601,Tree Near,Building Far,Low Visual Exposure
SEG_0018,4.781115046063934,10.256378138467413,Tree Near,Building Near,Screened Exposure
SEG_0019,71.65200765019733,9.17455840120296,Tree Far,Building Near,High Visual Exposure
SEG_0020,56.19159927565116,15.157079599463845,Tree Far,Building Far,Open Exposure
SEG_0021,84.12237248522442,9.898505427488056,Tree Far,Building Near,High Visual Exposure
SEG_0022,49.887536568052205,15.238330240909637,Tree Far,Building Far,Open Exposure
SEG_0023,48.64012891938203,15.665007538256656,Tree Far,Building Far,Open Exposure
SEG_0024,5.599968211535176,9.64592672015316,Tree Near,Building Near,Screened Exposure
SEG_0025,15.513938319413928,15.637922997187315,Tree Near,Building Far,Low Visual Exposure
SEG_0026,15.889857490489476,15.330125754394366,Tree Near,Building Far,Low Visual Exposure
SEG_0027,53.03368859402007,8.937925589975576,Tree Far,Building Near,High Visual Exposure
SEG_0028,95.53997988687433,15.48396770443795,Tree Far,Building Far,Open Exposure
SEG_0029,126.05838689320004,9.068987169786089,Tree Far,Building Near,High Visual Exposure
SEG_0030,64.48835330646457,15.656098021932575,Tree Far,Building Far,Open Exposure
SEG_0031,6.767653430634347,9.08226336176436,Tree Near,Building Near,Screened Exposure
SEG_0032,80.83654621327697,15.052860968059269,Tree Far,Building Far,Open Exposure
SEG_0033,73.73685281640738,9.186565754523839,Tree Far,Building Near,High Visual Exposure
SEG_0034,76.0073050596161,14.905254269714272,Tree Far,Building Far,Open Exposure
SEG_0035,94.43547451837814,8.950238024944031,Tree Far,Building Near,High Visual Exposure
SEG_0036,132.0436573483002,15.211504058120985,Tree Far,Building Far,Open Exposure
SEG_0037,94.0662396994521,9.345386870352304,Tree Far,Building Near,High Visual Exposure
SEG_0038,21.293171036374034,14.598171948851922,Tree Near,Building Near,Screened Exposure
SEG_0039,59.95428992548389,17.79958503499598,Tree Far,Building Far,Open Exposure
SEG_0040,128.0262691723157,9.352496186090118,Tree Far,Building Near,High Visual Exposure
SEG_0041,10.382027248745926,13.802024437520988,Tree Near,Building Near,Screened Exposure
SEG_0042,49.901103029536564,9.258919008322529,Tree Far,Building Near,High Visual Exposure
SEG_0043,60.235739621838576,15.36980151137757,Tree Far,Building Far,Open Exposure
SEG_0044,47.02350668431084,14.599011699527763,Tree Far,Building Far,Open Exposure
SEG_0045,102.21239649761458,9.359994708541997,Tree Far,Building Near,High Visual Exposure
SEG_0046,120.78694266598997,16.335425831155003,Tree Far,Building Far,Open Exposure
SEG_0047,169.43917768370173,14.50200508292668,Tree Far,Building Near,High Visual Exposure
SEG_0048,204.24539403619497,15.281013514133534,Tree Far,Building Far,Open Exposure
SEG_0049,49.01595117426519,16.081302686184635,Tree Far,Building Far,Open Exposure
SEG_0050,113.32114414411203,14.770533192280606,Tree Far,Building Far,Open Exposure
SEG_0051,144.7955430421218,15.379018422026384,Tree Far,Building Far,Open Exposure
SEG_0052,40.04334539774306,16.170129989437683,Tree Far,Building Far,Open Exposure
SEG_0053,78.24812053169069,9.274012742732895,Tree Far,Building Near,High Visual Exposure
SEG_0054,194.45290411590895,13.632055472363238,Tree Far,Building Near,High Visual Exposure
SEG_0055,43.79125635324492,16.236976340405516,Tree Far,Building Far,Open Exposure
SEG_0056,203.82333483538426,9.262350181460071,Tree Far,Building Near,High Visual Exposure
SEG_0057,9.391609313720211,12.594596115223496,Tree Near,Building Near,Screened Exposure
SEG_0058,4.809522840351588,10.669629596466503,Tree Near,Building Near,Screened Exposure
SEG_0059,7.3823538552939185,12.609326679033913,Tree Near,Building Near,Screened Exposure
SEG_0060,15.321254841018282,19.24199769887716,Tree Near,Building Far,Low Visual Exposure
SEG_0061,8.364209555455508,9.66228662483421,Tree Near,Building Near,Screened Exposure
SEG_0062,9.377459936155404,11.455592154739394,Tree Near,Building Near,Screened Exposure
SEG_0063,20.924327477182814,9.073559645189304,Tree Near,Building Near,Screened Exposure
SEG_0064,36.161542745723025,2.6501771001152465,Tree Far,Building Near,High Visual Exposure
SEG_0065,9.343417409122681,9.414032396459985,Tree Near,Building Near,Screened Exposure
SEG_0066,40.958594519321146,11.7009166553205,Tree Far,Building Near,High Visual Exposure
SEG_0067,15.285815663056317,18.713110407030026,Tree Near,Building Far,Low Visual Exposure
SEG_0068,6.434302696208118,11.633016292792492,Tree Near,Building Near,Screened Exposure
SEG_0069,1.9850219340262363,21.670226116235998,Tree Near,Building Far,Low Visual Exposure
SEG_0070,5.223990521899789,13.089993211866165,Tree Near,Building Near,Screened Exposure
SEG_0071,12.343826394487051,18.09080124603373,Tree Near,Building Far,Low Visual Exposure
SEG_0072,12.257407696203067,19.71239302720142,Tree Near,Building Far,Low Visual Exposure
SEG_0073,5.770657673969125,10.961745405440514,Tree Near,Building Near,Screened Exposure
SEG_0074,14.458698027808037,21.975439146854242,Tree Near,Building Far,Low Visual Exposure
SEG_0075,6.594593001526535,17.2126453960687,Tree Near,Building Far,Low Visual Exposure
SEG_0076,22.396593211039185,18.78629555107584,Tree Near,Building Far,Low Visual Exposure
SEG_0077,18.78062029549378,21.442585416272674,Tree Near,Building Far,Low Visual Exposure
SEG_0078,21.974600658453674,18.686219127268533,Tree Near,Building Far,Low Visual Exposure
SEG_0079,23.063295203060488,21.525547589748346,Tree Near,Building Far,Low Visual Exposure
SEG_0080,26.208072237989395,16.87861833553106,Tree Near,Building Far,Low Visual Exposure
SEG_0081,5.7156795830948335,33.85906079139145,Tree Near,Building Far,Low Visual Exposure
SEG_0082,17.897179104736757,21.312907189646364,Tree Near,Building Far,Low Visual Exposure
SEG_0083,28.747028446669084,10.537445347132357,Tree Near,Building Near,Screened Exposure
SEG_0084,14.11606870367369,9.432053075112524,Tree Near,Building Near,Screened Exposure
SEG_0085,25.03899625154217,29.639294111018184,Tree Near,Building Far,Low Visual Exposure
SEG_0086,30.69384292796047,17.99106969924668,Tree Near,Building Far,Low Visual Exposure
SEG_0087,49.959482423304586,9.441877275827625,Tree Far,Building Near,High Visual Exposure
SEG_0088,21.28030306445963,11.55844324012123,Tree Near,Building Near,Screened Exposure
SEG_0089,9.00286603112588,9.228494986031293,Tree Near,Building Near,Screened Exposure
SEG_0090,10.122590044562187,13.150364065766235,Tree Near,Building Near,Screened Exposure
SEG_0091,49.821394233621945,11.24924655327677,Tree Far,Building Near,High Visual Exposure
SEG_0092,68.45401083100249,8.533623045254878,Tree Far,Building Near,High Visual Exposure
SEG_0093,14.9099141074803,15.312469915100467,Tree Near,Building Far,Low Visual Exposure
SEG_0094,15.714246972508333,10.6084421678898,Tree Near,Building Near,Screened Exposure
SEG_0095,8.341187944722485,15.12323431508255,Tree Near,Building Far,Low Visual Exposure
SEG_0096,10.989168960617308,15.559189464732112,Tree Near,Building Far,Low Visual Exposure
SEG_0097,36.33366573846389,9.148039122026265,Tree Far,Building Near,High Visual Exposure
SEG_0098,7.1302343535559585,12.822466736706174,Tree Near,Building Near,Screened Exposure
SEG_0099,57.46256702679231,14.975930228404296,Tree Far,Building Far,Open Exposure
SEG_0100,14.053067196554203,12.294935698360215,Tree Near,Building Near,Screened Exposure
SEG_0101,14.393468674465494,12.280238983757355,Tree Near,Building Near,Screened Exposure
