candidate_id,candidate_type,candidate_name,access_note,seating_type,sample_id,segment_id,street_name,sample_link_distance_m,tree_distance_m,building_distance_m,tree_class,building_class,visual_condition,orientation_group,screening_potential
DOT_SEAT.2024.0287,DOT Bench,1010 6 Avenue,Public NYC DOT seating,BACKLESS 2.0,SEG_0020_P006,SEG_0020,AVE OF THE AMERICAS,11.92110636750507,69.94150644867025,15.21278716207453,Tree Far,Building Far,Open Field,North–South / Avenue-like,False
DOT_SEAT.2024.0471,DOT Bench,966 6 Avenue,Public NYC DOT seating,BACKLESS 2.0,SEG_0022_P004,SEG_0022,AVE OF THE AMERICAS,11.650034593269517,54.06628718259376,15.206593453222311,Tree Far,Building Far,Open Field,North–South / Avenue-like,False
DOT_SEAT.2024.0483,DOT Bench,1060 6 Avenue,Public NYC DOT seating,BACKLESS 2.0,SEG_0038_P026,SEG_0038,W 42 ST,11.133595488076676,14.837277002018745,15.277248157736754,Tree Near,Building Far,Vegetated Buffer,East–West / Cross-street-like,True
DOT_SEAT.2024.0493,DOT Bench,562 5 Avenue,Public NYC DOT seating,BACKLESS 2.0,SEG_0104_P002,SEG_0104,5 AVE,10.226655208070593,9.990671852061027,15.286358707695216,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,True
DOT_SEAT.2024.0497,DOT Bench,386 5 Avenue,Public NYC DOT seating,BACKLESS 2.0,SEG_0013_P006,SEG_0013,5 AVE,11.159011107546432,11.235112218299149,15.276908084270946,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,True
DOT_SEAT.2024.0591,DOT Bench,12 E 42 Street,Public NYC DOT seating,BACKLESS 2.0,SEG_0096_P006,SEG_0096,E 42 ST,11.28641336537078,28.286331091599163,15.603056135598754,Tree Near,Building Far,Vegetated Buffer,East–West / Cross-street-like,True
DOT_SEAT.2025.0014,DOT Bench,52 Park Avenue,Public NYC DOT seating,BACKED 2.0,SEG_0057_P003,SEG_0057,PARK AVE,6.591045775179121,6.84519423812693,12.593574524979164,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,True
DOT_SEAT.2026.0710,DOT Bench,950 6 Avenue,Public NYC DOT seating,BACKLESS 2.0,SEG_0008_P007,SEG_0008,AVE OF THE AMERICAS,10.504331270012372,70.0198461373612,13.946018148201137,Tree Far,Building Far,Open Field,North–South / Avenue-like,False
DOT_SEAT.2026.0742,DOT Bench,22 Madison Avenue,Public NYC DOT seating,BACKLESS 2.0,SEG_0101_P003,SEG_0101,MADISON AVE,10.148733686058177,8.254861427282268,12.304600621766008,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,True
POPS_M050049,POPS with seating,"575 FIFTH AVENUE, New York, NY 10017",Restricted Hours,Covered Pedestrian Space,SEG_0104_P006,SEG_0104,5 AVE,45.35182348692568,10.401741453663856,21.368194561179386,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,True
POPS_M050054,POPS with seating,"1155 SIXTH AVENUE, New York, NY 10036",24 Hours,Arcade; Sidewalk Widening; Urban Plaza,SEG_0055_P005,SEG_0055,AVE OF THE AMERICAS,42.149593434464464,47.938776640018894,16.248543868534284,Tree Far,Building Far,Open Field,North–South / Avenue-like,False
POPS_M050055,POPS with seating,"1133 SIXTH AVENUE, New York, NY 10036",24 Hours,Plaza,SEG_0053_P005,SEG_0053,W 43 ST,41.92826472260275,5.530971197125575,9.41413069936606,Tree Near,Building Near,Screened Edge,East–West / Cross-street-like,True
POPS_M050057,POPS with seating,Grace,24 Hours,Arcade; Plaza,SEG_0109_P022,SEG_0109,W 43 ST,36.13523760549211,72.33249044594973,9.123937565871458,Tree Far,Building Near,Exposed Edge,East–West / Cross-street-like,False
POPS_M050059,POPS with seating,Philip Morris,24 Hours; Restricted Hours,Arcade; Covered Pedestrian Space,SEG_0097_P012,SEG_0097,E 41 ST,39.40204084349472,7.200882741867202,8.984627739220542,Tree Near,Building Near,Screened Edge,East–West / Cross-street-like,True
POPS_M050060,POPS with seating,Bell Atlantic,24 Hours,Special Permit Plaza; Subway Concourse,SEG_0040_P007,SEG_0040,W 41 ST,38.85036798081821,134.62487111780086,9.332189459633016,Tree Far,Building Near,Exposed Edge,East–West / Cross-street-like,False
POPS_M050062,POPS with seating,Fifth Avenue Tower,24 Hours,Urban Plaza,SEG_0089_P004,SEG_0089,E 39 ST,21.931727060815263,5.492123935593778,9.544117826550101,Tree Near,Building Near,Screened Edge,East–West / Cross-street-like,True
POPS_M050063,POPS with seating,World Apparel Center,24 Hours,Arcade; Plaza,SEG_0042_P005,SEG_0042,W 40 ST,41.411372386375675,45.82286995670296,9.259254074894178,Tree Far,Building Near,Exposed Edge,East–West / Cross-street-like,False
POPS_M050082,POPS with seating,"420 FIFTH AVENUE, New York, NY 10018",24 Hours,Urban Plaza,SEG_0017_P004,SEG_0017,5 AVE,36.875137390652064,7.990642656683159,14.944013340722817,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,True
POPS_M050103,POPS with seating,"425 FIFTH AVENUE, New York, NY 10016",24 Hours,Pedestrian Circulation Space; Urban Plaza,SEG_0087_P004,SEG_0087,E 38 ST,21.73576115361397,9.056535157517185,9.522130764136744,Tree Near,Building Near,Screened Edge,East–West / Cross-street-like,True
