sample_id,segment_id,street_name,sample_index,distance_along_m,tree_distance_m,building_distance_m,tree_class,building_class,visual_condition,orientation_group,zone_id
SEG_0001_P001,SEG_0001,W 33 ST,1,5.0,94.85939451741945,70.60627396206672,Tree Far,Building Far,Open Field,East–West / Cross-street-like,SEG_0001_Z01
SEG_0001_P002,SEG_0001,W 33 ST,2,15.000000000000002,96.71961402964355,78.50479321490963,Tree Far,Building Far,Open Field,East–West / Cross-street-like,SEG_0001_Z01
SEG_0002_P001,SEG_0002,BROADWAY,1,5.0,90.21211730972071,65.85699889523003,Tree Far,Building Far,Open Field,North–South / Avenue-like,SEG_0002_Z01
SEG_0002_P002,SEG_0002,BROADWAY,2,15.000000000000002,82.30703421892387,64.95150267507701,Tree Far,Building Far,Open Field,North–South / Avenue-like,SEG_0002_Z01
SEG_0002_P003,SEG_0002,BROADWAY,3,25.000000000000004,74.90440343749113,65.57629980423486,Tree Far,Building Far,Open Field,North–South / Avenue-like,SEG_0002_Z01
SEG_0002_P004,SEG_0002,BROADWAY,4,35.00000000000001,68.16811150928775,67.68902785742654,Tree Far,Building Far,Open Field,North–South / Avenue-like,SEG_0002_Z01
SEG_0002_P005,SEG_0002,BROADWAY,5,45.000000000000014,62.31463069901174,60.40083406404519,Tree Far,Building Far,Open Field,North–South / Avenue-like,SEG_0002_Z01
SEG_0003_P001,SEG_0003,AVE OF THE AMERICAS,1,5.0,93.61658278801194,80.99036043268896,Tree Far,Building Far,Open Field,North–South / Avenue-like,SEG_0003_Z01
SEG_0003_P002,SEG_0003,AVE OF THE AMERICAS,2,15.000000000000002,84.59131287598427,77.46293295541695,Tree Far,Building Far,Open Field,North–South / Avenue-like,SEG_0003_Z01
SEG_0003_P003,SEG_0003,AVE OF THE AMERICAS,3,25.000000000000004,75.81105364826867,74.86667944042344,Tree Far,Building Far,Open Field,North–South / Avenue-like,SEG_0003_Z01
SEG_0003_P004,SEG_0003,AVE OF THE AMERICAS,4,35.00000000000001,67.37166686700512,65.10447161780543,Tree Far,Building Far,Open Field,North–South / Avenue-like,SEG_0003_Z01
SEG_0003_P005,SEG_0003,AVE OF THE AMERICAS,5,45.000000000000014,59.41857569495247,55.42711212784031,Tree Far,Building Far,Open Field,North–South / Avenue-like,SEG_0003_Z01
SEG_0004_P001,SEG_0004,W 34 ST,1,5.0,10.505892382167158,15.76619962113624,Tree Near,Building Far,Vegetated Buffer,East–West / Cross-street-like,SEG_0004_Z01
SEG_0004_P002,SEG_0004,W 34 ST,2,15.000000000000002,7.592894297794029,15.751890982328913,Tree Near,Building Far,Vegetated Buffer,East–West / Cross-street-like,SEG_0004_Z01
