candidate_id,candidate_type,candidate_name,access_note,seating_type,radial_distance_m,approx_minutes_radial,sample_id,segment_id,street_name,sample_link_distance_m,tree_distance_m,building_distance_m,tree_class,building_class,visual_condition,orientation_group,screening_potential
DOT_SEAT.1900.0020,Bench,617 2 Avenue,NYC DOT public seating asset,BACKED 1.0,1162.4560600597542,14.530700750746927,SEG_00549_P006,SEG_00549,2 AVE,12.530811609577404,13.003568236643906,15.252992860399534,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,True
DOT_SEAT.1900.0030,Leaning Bar,61 E 34 Street,NYC DOT public seating asset,LEANING BAR,711.4044860591672,8.89255607573959,SEG_00135_P013,SEG_00135,E 34 ST,9.128378954923395,33.12393655484949,15.333314859501883,Tree Far,Building Far,Open Field,East–West / Cross-street-like,False
DOT_SEAT.2013.0197,Bench,191 Madison Ave,NYC DOT public seating asset,BACKLESS 2.0,619.8204854589301,7.747756068236626,SEG_00136_P004,SEG_00136,MADISON AVE,9.216916113931962,9.800589064232724,11.689696033782932,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,True
DOT_SEAT.2013.0198,Bench,199 Madison Avenue,NYC DOT public seating asset,BACKLESS 1.0,597.05238721288,7.463154840161001,SEG_00136_P007,SEG_00136,MADISON AVE,8.807199074956484,24.859068549749843,11.605131137019104,Tree Far,Building Far,Open Field,North–South / Avenue-like,False
DOT_SEAT.2013.0199,Bench,165 Madison Avenue,NYC DOT public seating asset,BACKLESS 2.0,742.698014147814,9.283725176847675,SEG_00131_P006,SEG_00131,MADISON AVE,9.83336023063429,6.620713299638321,13.072270551708849,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,True
DOT_SEAT.2013.0447,Bench,529 3 Avenue,NYC DOT public seating asset,BACKED 1.0,928.1732687158842,11.602165858948553,SEG_00583_P002,SEG_00583,3 AVE,13.132381576306631,10.342831935652463,14.924203422255545,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,True
DOT_SEAT.2016.0181,Leaning Bar,4 E 34th Street,NYC DOT public seating asset,LEANING BAR,602.8222567476786,7.535278209345982,SEG_00137_P004,SEG_00137,E 34 ST,8.067323162255304,19.92452030794629,15.652333686227458,Tree Near,Building Far,Vegetated Buffer,East–West / Cross-street-like,True
DOT_SEAT.2016.0185,Leaning Bar,360 W 34 Street,NYC DOT public seating asset,LEANING BAR,1074.102632944259,13.426282911803238,SEG_00082_P024,SEG_00082,W 34 ST,10.33166320075809,12.146542623373994,15.178922336002795,Tree Near,Building Far,Vegetated Buffer,East–West / Cross-street-like,True
DOT_SEAT.2016.0186,Leaning Bar,245 E 34 Street,NYC DOT public seating asset,LEANING BAR,1129.3442830250062,14.116803537812578,SEG_00548_P012,SEG_00548,E 34 ST,8.672581593647848,13.12099144669308,15.011847608502912,Tree Near,Building Far,Vegetated Buffer,East–West / Cross-street-like,True
DOT_SEAT.2022.0073,Bench,4 Park Avenue,NYC DOT public seating asset,BACKED 2.0,751.6110570512715,9.395138213140893,SEG_00600_P006,SEG_00600,PARK AVE,5.949119261749034,24.311329621699134,12.208820020521665,Tree Far,Building Far,Open Field,North–South / Avenue-like,False
