sample_id,segment_id,street_name,sample_index,distance_along_m,tree_distance_m,building_distance_m,tree_class,building_class,visual_condition,orientation_group,zone_id
SEG_00001_P001,SEG_00001,LEXINGTON AVE,1,5.0,16.692100826886243,11.708801408798829,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,SEG_00001_Z01
SEG_00001_P002,SEG_00001,LEXINGTON AVE,2,15.000000000000002,8.985736149649732,12.08570089314525,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,SEG_00001_Z01
SEG_00001_P003,SEG_00001,LEXINGTON AVE,3,25.000000000000004,8.62606808486687,11.089290644872943,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,SEG_00001_Z01
SEG_00001_P004,SEG_00001,LEXINGTON AVE,4,35.00000000000001,9.486816864174397,11.024851499585322,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,SEG_00001_Z01
SEG_00001_P005,SEG_00001,LEXINGTON AVE,5,45.000000000000014,7.907213340730431,10.56336914135306,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,SEG_00001_Z01
SEG_00001_P006,SEG_00001,LEXINGTON AVE,6,55.00000000000001,14.571458390307514,12.747268318338804,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,SEG_00001_Z01
SEG_00002_P001,SEG_00002,E 28 ST,1,5.0,23.023524275384265,10.88891886325305,Tree Far,Building Far,Open Field,East–West / Cross-street-like,SEG_00002_Z01
SEG_00002_P002,SEG_00002,E 28 ST,2,15.000000000000002,13.280004876460254,10.106262714234974,Tree Near,Building Far,Vegetated Buffer,East–West / Cross-street-like,SEG_00002_Z02
SEG_00002_P003,SEG_00002,E 28 ST,3,25.000000000000004,4.757561242714559,10.047507001597067,Tree Near,Building Far,Vegetated Buffer,East–West / Cross-street-like,SEG_00002_Z02
SEG_00002_P004,SEG_00002,E 28 ST,4,35.00000000000001,4.587890847382669,9.988751288976122,Tree Near,Building Far,Vegetated Buffer,East–West / Cross-street-like,SEG_00002_Z02
SEG_00002_P005,SEG_00002,E 28 ST,5,45.000000000000014,8.499770185762218,9.039277874291155,Tree Near,Building Near,Screened Edge,East–West / Cross-street-like,SEG_00002_Z03
SEG_00002_P006,SEG_00002,E 28 ST,6,55.00000000000001,3.860880780113309,8.991627852598745,Tree Near,Building Near,Screened Edge,East–West / Cross-street-like,SEG_00002_Z03
SEG_00002_P007,SEG_00002,E 28 ST,7,65.00000000000001,4.636880556545337,8.943977830906332,Tree Near,Building Near,Screened Edge,East–West / Cross-street-like,SEG_00002_Z03
SEG_00002_P008,SEG_00002,E 28 ST,8,75.00000000000001,4.086147316824135,8.896327809213924,Tree Near,Building Near,Screened Edge,East–West / Cross-street-like,SEG_00002_Z03
SEG_00002_P009,SEG_00002,E 28 ST,9,85.00000000000001,3.786145043632465,9.75317509211239,Tree Near,Building Near,Screened Edge,East–West / Cross-street-like,SEG_00002_Z03
SEG_00002_P010,SEG_00002,E 28 ST,10,95.00000000000003,9.812408127463373,9.636319484790016,Tree Near,Building Near,Screened Edge,East–West / Cross-street-like,SEG_00002_Z03
SEG_00002_P011,SEG_00002,E 28 ST,11,105.00000000000001,7.1548245985924765,8.257618873764686,Tree Near,Building Near,Screened Edge,East–West / Cross-street-like,SEG_00002_Z03
SEG_00003_P001,SEG_00003,PARK AVE S,1,5.0,7.38897926338556,9.109482756517455,Tree Near,Building Near,Screened Edge,North–South / Avenue-like,SEG_00003_Z01
SEG_00003_P002,SEG_00003,PARK AVE S,2,15.000000000000002,6.464351053567728,9.07181700203054,Tree Near,Building Near,Screened Edge,North–South / Avenue-like,SEG_00003_Z01
SEG_00003_P003,SEG_00003,PARK AVE S,3,25.000000000000004,6.273093727331131,9.034153371725788,Tree Near,Building Near,Screened Edge,North–South / Avenue-like,SEG_00003_Z01
SEG_00003_P004,SEG_00003,PARK AVE S,4,35.00000000000001,6.202351353266309,8.996491494904493,Tree Near,Building Near,Screened Edge,North–South / Avenue-like,SEG_00003_Z01
SEG_00003_P005,SEG_00003,PARK AVE S,5,45.000000000000014,9.66647151835981,8.958829618056269,Tree Near,Building Near,Screened Edge,North–South / Avenue-like,SEG_00003_Z01
SEG_00003_P006,SEG_00003,PARK AVE S,6,55.00000000000001,18.49982272489696,10.536986994127641,Tree Near,Building Far,Vegetated Buffer,North–South / Avenue-like,SEG_00003_Z02
