candidate_id,candidate_type,candidate_name,Asset_Subtype,On_Street,From_Street,To_Street,Latitude,Longitude,radial_distance_m,approx_minutes_radial
DOT_SEAT.2024.0483,Bench,1060 6 Avenue,BACKLESS 2.0,W 42 Street,6 Avenue,5 Avenue,40.754525,-73.983614,108.50662450810228,1.4
DOT_SEAT.2025.0637,Leaning Bar,6 Avenue,LEANING BAR,6 Avenue,W 40 Street,W 42 Street,40.75388,-73.984629,124.61659417870932,1.6
DOT_SEAT.2024.0591,Bench,12 E 42 Street,BACKLESS 2.0,E 42 Street,5 Avenue,Madison Avenue,40.753181,-73.980421,239.24827983293076,3.0
DOT_SEAT.2024.0287,Bench,1010 6 Avenue,BACKLESS 2.0,6 Avenue,W 37 Street,W 38 Street,40.752101,-73.985952,285.8675493828192,3.6
DOT_SEAT.2024.0474,Leaning Bar,990 6 Avenue,LEANING BAR,6 Avenue,W 36 Street,W 37 Street,40.751513,-73.986364,353.70282367270806,4.4
DOT_SEAT.2026.0742,Bench,22 Madison Avenue,BACKLESS 2.0,Madison Avenue,E 43 Street,E 44 Street,40.753684,-73.978521,395.23930165100336,4.9
DOT_SEAT.2024.0497,Bench,386 5 Avenue,BACKLESS 2.0,5 Avenue,E 36 Street,E 35 Street,40.749571,-73.983888,451.17201693503637,5.6
DOT_SEAT.2024.0493,Bench,562 5 Avenue,BACKLESS 2.0,5 Avenue,W 47 Street,W 46 Street,40.756207,-73.979041,455.1494789197651,5.7
DOT_SEAT.2024.0471,Bench,966 6 Avenue,BACKLESS 2.0,6 Avenue,W 35 Street,W 36 Street,40.750679,-73.986985,455.3988037169469,5.7
DOT_SEAT.2026.0710,Bench,950 6 Avenue,BACKLESS 2.0,6 Avenue,W 34 Street,W 35 Street,40.750299,-73.987279,503.02499992371764,6.3
DOT_SEAT.2025.0638,Leaning Bar,1212 6 Avenue,LEANING BAR,6 Avenue,W 47 Street,W 48 Street,40.758215,-73.98148,532.6744548091758,6.7
DOT_SEAT.2025.0628,Bench,492 7 Avenue,BACKLESS 2.0,7 Avenue,W 37 Street,W 36 Street,40.752642,-73.989582,549.3467712349268,6.9
