pops_number,address,provision_score,straight_line_m,network_m,snap_connector_m,added_m,detour_ratio
M050060,1095 SIXTH AVENUE,100.0,58.264003636984754,109.78169481729032,20.993508251511116,51.51769118030556,1.8842113134086658
M050055,1133 SIXTH AVENUE,57.0,197.29754213740335,294.0710054087427,59.213321426591634,96.77346327133932,1.490495027069033
M050057,1114 SIXTH AVENUE,100.0,152.4015610615654,325.40530258121566,58.094738226138645,173.00374151965028,2.135183526432267
M050054,1155 SIXTH AVENUE,86.0,275.9322353783084,435.03221300323116,51.592568057838434,159.09997762492276,1.5765907611584187
M050048,1185 SIXTH AVENUE,71.0,429.09515954423097,516.1048891030908,51.3950935246541,87.00972955885987,1.202774903476605
M050052,1166 SIXTH AVENUE,100.0,355.67765530535956,526.0150143412409,47.96815764690503,170.33735903588132,1.478909362157265
M050047,1211 SIXTH AVENUE,14.0,511.72984408268275,589.3114012911816,60.101605144013206,77.58155720849885,1.151606473817391
M050043,1221 SIXTH AVENUE,86.0,596.1964377623597,726.0983438801841,68.89601672363519,129.9019061178244,1.2178844050215585
M050042,1251 SIXTH AVENUE,0.0,671.1994161642513,763.9415810905217,91.48034412466204,92.74216492627045,1.1381737866464043
M050037,1285 SIXTH AVENUE,100.0,828.8812364772269,892.1703389752288,83.90903486413283,63.28910249800185,1.0763548500228846
M050026,1330 SIXTH AVENUE,86.0,988.3575120531073,1125.310778203918,44.402706591941204,136.9532661508108,1.138566525250887
M050030,1301 SIXTH AVENUE,0.0,907.5609237490926,1160.0533878511408,77.66129721117828,252.4924641020482,1.2782099333442138
M050021,1345 SIXTH AVENUE,100.0,1065.6878520375992,1189.5192951074923,50.66965637539835,123.83144306989311,1.1161986062176903
M050022,1350 SIXTH AVENUE,0.0,1076.9218107046468,1193.1754122994814,58.98779896486079,116.25360159483466,1.1079498998342026
M050019,1370 SIXTH AVENUE,57.0,1156.798970635581,1310.8901119500379,41.97028237652893,154.09114131445676,1.133204770427652
