boro_cd,shed_count,avg_age
108,472,531.8
105,425,566.4
107,392,608.1
102,361,465.2
106,304,561.3
302,267,455.2
104,247,536.1
110,242,677.0
301,237,440.0
103,233,604.1
306,204,371.1
101,195,641.4
112,194,661.5
111,188,515.8
303,183,368.3
204,174,706.3
109,164,613.1
205,155,693.4
207,151,468.6
201,133,759.7
316,130,553.7
401,125,426.7
402,117,485.1
312,108,379.4
209,104,505.6
308,103,479.2
208,100,920.8
203,98,638.2
407,93,541.1
206,92,601.6
406,88,419.4
313,85,797.5
305,84,619.0
307,81,489.0
211,77,577.1
403,75,414.4
202,75,478.3
304,69,391.9
414,66,612.6
412,66,725.9
315,66,530.7
309,64,448.7
212,63,569.4
314,63,522.5
310,57,459.2
408,57,526.4
210,42,456.5
317,40,331.0
404,40,425.7
501,38,496.8
409,38,622.9
311,37,366.2
405,30,324.9
318,29,659.4
502,24,534.5
413,23,775.3
410,23,387.7
411,15,205.1
503,10,566.5
481,3,146.3
355,2,681.5
164,1,415.0
482,1,252.0
484,1,839.0
