destination,category,euclidean_distance_m,shortest_path_edges_m,origin_snap_m,destination_snap_m,network_distance_m,additional_distance_m,detour_ratio,estimated_walk_time_min,route_node_count,euclidean_distance_km,network_distance_km,additional_distance_km
Obelisk (Cleopatra's Needle),Monument,185.050288965177,604.0121945164208,82.56571939556241,12.432256583764518,699.0101704957477,513.9598815305708,3.7774065331359106,8.737627131196847,14,0.185050288965177,0.6990101704957478,0.5139598815305708
Alice in Wonderland,Monument,563.9609028307892,612.7876561987289,82.56571939556241,10.966242619085302,706.3196182133765,142.35871538258732,1.2524265683454667,8.828995227667207,22,0.5639609028307893,0.7063196182133765,0.14235871538258732
Conservatory Water,Water,614.4502738345589,658.0473450650468,82.56571939556241,7.811543691322506,748.4246081519317,133.97433431737284,1.2180393434952648,9.355307601899145,20,0.6144502738345589,0.7484246081519317,0.13397433431737282
Belvedere Castle,Architecture,501.2729063112117,856.5157134894171,82.56571939556241,5.900709429234992,944.9821423142145,443.70923600300273,1.8851650077563318,11.81227677892768,23,0.5012729063112117,0.9449821423142144,0.4437092360030027
Bethesda Terrace and Fountain,Architecture,890.0148135156205,1011.4052640458527,82.56571939556241,8.811000289087067,1102.7819837305024,212.76717021488184,1.2390602571820537,13.784774796631279,27,0.8900148135156205,1.1027819837305024,0.21276717021488184
The Ramble,Landscape,747.85428195469,1086.6894761905562,82.56571939556241,43.80677548469984,1213.0619710708183,465.20768911612834,1.6220565962398457,15.163274638385229,35,0.7478542819546901,1.2130619710708184,0.4652076891161283
Bow Bridge,Bridge,789.072720662217,1174.073300650139,82.56571939556241,54.23978249352887,1310.87880253923,521.8060818770131,1.6612902311957958,16.385985031740375,27,0.789072720662217,1.31087880253923,0.521806081877013
The Mall and Literary Walk,Promenade,1066.5586369486148,1236.752544727095,82.56571939556241,7.6603212529117926,1326.9785853755693,260.41994842695453,1.2441684305065557,16.587232317194616,33,1.0665586369486149,1.3269785853755693,0.26041994842695454
Strawberry Fields / Imagine Mosaic,Memorial,1086.3350948874365,1479.0984157401124,82.56571939556241,6.730752157172343,1568.3948872928472,482.0597924054107,1.443748705785263,19.60493609116059,38,1.0863350948874366,1.5683948872928473,0.4820597924054107
Sheep Meadow,Landscape,1469.8785201296544,1648.88964185547,82.56571939556241,14.408999972374996,1745.8643612234073,275.9858410937529,1.1877609865809924,21.82330451529259,42,1.4698785201296543,1.7458643612234073,0.2759858410937529
Gapstow Bridge,Bridge,1624.659456259017,1790.156820347456,82.56571939556241,3.565459419613214,1876.2879991626316,251.62854290361474,1.1548807917463646,23.453599989532897,44,1.6246594562590169,1.8762879991626316,0.25162854290361475
Conservatory Garden,Garden,1820.7838483821804,1930.2704191725875,82.56571939556241,29.759023159918584,2042.5951617280684,221.81131334588804,1.1218218810228209,25.532439521600857,57,1.8207838483821803,2.0425951617280687,0.22181131334588805
