"Organization Name","Address","City","State","Postcode","Main Phone #","Discipline","Council District","Community Board","Borough","Latitude","Longitude","Census Tract","BIN","BBL","NTA"
"122 Community Center Inc.","150 First Avenue","New York","NY","10009","(917) 864-5050",,"Manhattan Council District #2",,"Manhattan","40.728261","-73.984785","34","1005894","1004370001","MN0303"
"13 Playwrights, Inc.","c/o Gary Winter","Brooklyn","NY","11205","(917) 886-6545","Theater","Brooklyn Council District #39","Brooklyn Community Board #6","Manhattan",,,,,,
"1687, Inc.","29 Charles Street #6F","New York","NY","10014","(212) 252-3499","Multi-Discipline, Performing","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.735031","-74.002288","73","1010876","1006120033","MN0203"
"18 Mai Committee","832 Franklin Avenue, PMB337","Brooklyn","NY","11225","(718) 270-6935","Multi-Discipline, Performing","Brooklyn Council District #33","Brooklyn Community Board #6","Brooklyn","40.669459","-73.958419","213","3029691","3011870049","BK0901"
"20/20 Vision for Schools","428 East 10th Street","New York","NY","10009","(347) 921-4426","Visual Arts","Brooklyn Council District #43","Manhattan Community Board #3","Manhattan","40.725251","-73.976059","28","1077210","1003790023","MN0303"
"2020 Incubator LLC","499 Washington Avenue","New York","NY","11238","(917) 399-7150","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.683468","-73.964853","201","3056647","3019790001","BK0204"
"24 Hour Company","51 Bergen Street","Brooklyn","NY","11201","(646) 909-1321","Theater","Manhattan Council District #3","Brooklyn Community Board #2","Brooklyn","40.687071","-73.991303","43","3001235","3001930038","BK0202"
"3 Graces Theater Co., Inc.","56 West 128th Street","New York","NY","10027","(917) 385-0332","Theater","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.809045","-73.942567","208","1053656","1017250062","MN1002"
"42nd Street Workshop, Inc.","421 Eighth Avenue","New York","NY","10116","(651) 248-8870","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.750393","-73.994781","103","1084820","1007557501","MN0401"
"4A AMERICAN ALLIANCE OF ARTISTS AND AUDIENCES INC","99 Wall Street Frnt 1","New York","NY","10005","(646) 318-8309","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.705","-74.007156","7","1000865","1000337501","MN0101"
