pops_number,address,building_name,latitude,longitude,required_filename,imagery_date,source_url,caption
M050060,1095 SIXTH AVENUE,Bell Atlantic,40.754754,-73.985006,M050060.jpg,,,
M050057,1114 SIXTH AVENUE,Grace,40.754825,-73.982848,M050057.jpg,,,
M050055,1133 SIXTH AVENUE,,40.756057,-73.983866,M050055.jpg,,,
M050054,1155 SIXTH AVENUE,,40.756672,-73.98336,M050054.jpg,,,
M050052,1166 SIXTH AVENUE,,40.75682,-73.981851,M050052.jpg,,,
M050048,1185 SIXTH AVENUE,Stevens Tower,40.757899,-73.982519,M050048.jpg,,,
M050047,1211 SIXTH AVENUE,1211 Avenue of the Americas,40.758664,-73.982399,M050047.jpg,,,
M050043,1221 SIXTH AVENUE,McGraw-Hill,40.759381,-73.982067,M050043.jpg,,,
M050042,1251 SIXTH AVENUE,1251 Avenue of the Americas,40.759971,-73.981612,M050042.jpg,,,
M050037,1285 SIXTH AVENUE,PaineWebber,40.761165,-73.980533,M050037.jpg,,,
M050030,1301 SIXTH AVENUE,,40.761768,-73.980027,M050030.jpg,,,
M050026,1330 SIXTH AVENUE,,40.761966,-73.978478,M050026.jpg,,,
M050022,1350 SIXTH AVENUE,Men's Apparel,40.762575,-73.977778,M050022.jpg,,,
M050021,1345 SIXTH AVENUE,Alliance Capital,40.763064,-73.979254,M050021.jpg,,,
M050019,1370 SIXTH AVENUE,1370 Avenue of the Americas,40.763275,-73.977471,M050019.jpg,,,
