"Object ID","Organization Name","Approved On Street","Borough Name","Approved From Street","Approved To Street","apprDaysWe","Status Type","Approved Monday Open","Approved Monday Close","Approved Tuesday Open","Approved Tuesday Close","Approved Wednesday Open","Approved Wednesday Close","Approved Thursday Open","Approved Thursday Close","Approved Friday Open","Approved Friday Close","Approved Saturday Open","Approved Saturday Close","Approved Sunday Open","Approved Sunday Close","apprStartD","apprEndDat","Shape_STLe","segmentidt","segmentidf","lionversion","The_Geom"
"1","PS 5","DEISIUS STREET","Staten Island","KINGDOM AVENUE","STECHER STREET","mon,tue,wed,thu,fri","approvedFullSchools","07:30","15:00","07:30","15:00","07:30","15:00","07:30","15:00","07:30","15:00",,,,,"09/05/2024","06/27/2025","264.932398036","0002920","0002920","23C","MULTILINESTRING ((-74.1873831898433 40.53027724133192, -74.18822428664825 40.52993529401474))"
"2","Council of Jewish Organizations of Staten Island, a project of the Igud Harabonim of America Inc","SUFFOLK AVENUE","Staten Island","HAROLD STREET","QUEEN STREET","fri,sat,sun","approvedFull",,,,,,,,,"14:00","21:00","09:00","21:00","09:00","21:00","03/29/2024","10/31/2024","313.087821487","0008171","0008171","23C","MULTILINESTRING ((-74.12783562100836 40.602878201340694, -74.12771571744001 40.60202371219403))"
"3","Council of Jewish Organizations of Staten Island, a project of the Igud Harabonim of America Inc","SUFFOLK AVENUE","Staten Island","HAROLD STREET","QUEEN STREET","fri,sat,sun","approvedFull",,,,,,,,,"14:00","21:00","09:00","21:00","09:00","21:00","03/29/2024","10/31/2024","142.063500219","0008177","0008177","23C","MULTILINESTRING ((-74.12771571744001 40.60202371219403, -74.12765627029424 40.60163641824394))"
"4","Council of Jewish Organizations of Staten Island, a project of the Igud Harabonim of America Inc","VERMONT COURT","Staten Island","GANSEVOORT BOULEVARD","SUFFOLK AVENUE","fri,sat,sun","approvedFull",,,,,,,,,"14:00","21:00","09:00","21:00","09:00","21:00","03/29/2024","10/31/2024","421.392020366","0008218","0008218","23C","MULTILINESTRING ((-74.12620041947886 40.6020860093294, -74.12771571744001 40.60202371219403))"
"5","New Dorp Lane Management Association","9 STREET","Staten Island","ROSE AVENUE","NEW DORP LANE","fri,sat,sun","approvedFull",,,,,,,,,"19:00","23:00","18:00","23:00","18:00","23:00","05/24/2024","11/01/2024","448.103939286","0010673","0010673","23C","MULTILINESTRING ((-74.11480751234811 40.57315907351162, -74.11576065378974 40.57216682767418))"
"6","Merchants of third Avenue Civic improvement assoc, inc","3 AVENUE","Brooklyn","82 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"16:00","22:00",,,,,"07/19/2024","08/02/2024","329.974665053","0016745","0016745","23C","MULTILINESTRING ((-74.03418995725625 40.61580488357103, -74.03453827155818 40.61493893845266))"
"7","Merchants of third Avenue Civic improvement assoc, inc","3 AVENUE","Brooklyn","82 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"16:00","22:00",,,,,"07/19/2024","08/02/2024","41.4125057236","0016747","0016747","23C","MULTILINESTRING ((-74.03414586357573 40.615913472483165, -74.03418995725625 40.61580488357103))"
"8","Merchants of third Avenue Civic improvement assoc, inc","3 AVENUE","Brooklyn","82 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"16:00","22:00",,,,,"07/19/2024","08/02/2024","255.494816368","0016903","0016903","23C","MULTILINESTRING ((-74.03331256674338 40.61794500465979, -74.03358936528736 40.61727619650968))"
"9","Merchants of third Avenue Civic improvement assoc, inc","3 AVENUE","Brooklyn","82 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"16:00","22:00",,,,,"07/19/2024","08/02/2024","265.235069463","0016905","0016905","23C","MULTILINESTRING ((-74.03303206530377 40.61864093504046, -74.03331256674338 40.61794500465979))"
"10","Merchants of third Avenue Civic improvement assoc, inc","3 AVENUE","Brooklyn","82 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"16:00","22:00",,,,,"07/19/2024","08/02/2024","67.4368444386","0016906","0016906","23C","MULTILINESTRING ((-74.03295871695441 40.61881739510156, -74.03303206530377 40.61864093504046))"
"11","Merchants of third Avenue Civic improvement assoc, inc","3 AVENUE","Brooklyn","82 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"16:00","22:00",,,,,"07/19/2024","08/02/2024","192.933591092","0016908","0016908","23C","MULTILINESTRING ((-74.03275211847779 40.61932301632135, -74.03295871695441 40.61881739510156))"
"12","Merchants of third Avenue Civic improvement assoc, inc","3 AVENUE","Brooklyn","82 STREET","MARINE AVENUE","fri","approvedFull",,,,,,,,,"16:00","22:00",,,,,"07/19/2024","08/02/2024","97.7896886546","0016918","0016918","23C","MULTILINESTRING ((-74.03264688747291 40.61957917141344, -74.03275211847779 40.61932301632135))"
