site_id,day,day_order,open_time,close_time,open_min,close_min,daily_open_hours,time_flag
OS001,Monday,0,07:30,15:00,450,900,7.5,ok
OS001,Tuesday,1,07:30,15:00,450,900,7.5,ok
OS001,Wednesday,2,07:30,15:00,450,900,7.5,ok
OS001,Thursday,3,07:30,15:00,450,900,7.5,ok
OS001,Friday,4,07:30,15:00,450,900,7.5,ok
OS002,Friday,4,14:00,21:00,840,1260,7.0,ok
OS002,Saturday,5,09:00,21:00,540,1260,12.0,ok
OS002,Sunday,6,09:00,21:00,540,1260,12.0,ok
OS003,Friday,4,14:00,21:00,840,1260,7.0,ok
OS003,Saturday,5,09:00,21:00,540,1260,12.0,ok
OS003,Sunday,6,09:00,21:00,540,1260,12.0,ok
OS004,Friday,4,19:00,23:00,1140,1380,4.0,ok
OS004,Saturday,5,18:00,23:00,1080,1380,5.0,ok
OS004,Sunday,6,18:00,23:00,1080,1380,5.0,ok
OS005,Friday,4,16:00,22:00,960,1320,6.0,ok
OS006,Friday,4,16:00,22:00,960,1320,6.0,ok
OS007,Monday,0,14:30,15:00,870,900,0.5,ok
OS007,Tuesday,1,14:30,15:00,870,900,0.5,ok
OS007,Wednesday,2,14:30,15:00,870,900,0.5,ok
OS007,Thursday,3,14:30,15:00,870,900,0.5,ok
OS007,Friday,4,14:30,15:00,870,900,0.5,ok
OS008,Tuesday,1,16:00,22:00,960,1320,6.0,ok
OS008,Wednesday,2,16:00,22:00,960,1320,6.0,ok
OS008,Thursday,3,16:00,22:00,960,1320,6.0,ok
OS008,Friday,4,16:00,23:00,960,1380,7.0,ok
OS008,Saturday,5,12:00,23:00,720,1380,11.0,ok
OS008,Sunday,6,12:00,22:00,720,1320,10.0,ok
OS009,Saturday,5,10:30,19:30,630,1170,9.0,ok
OS010,Monday,0,08:00,15:00,480,900,7.0,ok
OS010,Tuesday,1,08:00,15:00,480,900,7.0,ok
OS010,Wednesday,2,08:00,15:00,480,900,7.0,ok
OS010,Thursday,3,08:00,15:00,480,900,7.0,ok
OS010,Friday,4,08:00,15:00,480,900,7.0,ok
OS011,Monday,0,10:00,15:00,600,900,5.0,ok
OS011,Tuesday,1,10:00,15:00,600,900,5.0,ok
OS011,Wednesday,2,10:00,15:00,600,900,5.0,ok
OS011,Thursday,3,10:00,15:00,600,900,5.0,ok
OS011,Friday,4,10:00,11:00,600,660,1.0,ok
OS012,Monday,0,09:30,14:00,570,840,4.5,ok
OS012,Thursday,3,09:30,14:00,570,840,4.5,ok
OS012,Friday,4,09:30,14:00,570,840,4.5,ok
OS013,Friday,4,12:00,15:00,720,900,3.0,ok
OS014,Monday,0,07:00,19:00,420,1140,12.0,ok
OS014,Tuesday,1,09:00,19:00,540,1140,10.0,ok
OS014,Wednesday,2,09:00,19:00,540,1140,10.0,ok
OS014,Thursday,3,09:00,19:00,540,1140,10.0,ok
OS014,Friday,4,09:00,15:00,540,900,6.0,ok
OS015,Saturday,5,11:00,22:00,660,1320,11.0,ok
OS016,Monday,0,12:30,14:30,750,870,2.0,ok
OS016,Tuesday,1,12:30,14:30,750,870,2.0,ok
OS016,Wednesday,2,12:30,14:30,750,870,2.0,ok
OS016,Thursday,3,12:30,14:30,750,870,2.0,ok
OS016,Friday,4,12:30,14:30,750,870,2.0,ok
OS017,Monday,0,08:00,22:00,480,1320,14.0,ok
OS017,Tuesday,1,08:00,22:00,480,1320,14.0,ok
OS017,Wednesday,2,08:00,22:00,480,1320,14.0,ok
OS017,Thursday,3,08:00,22:00,480,1320,14.0,ok
OS017,Friday,4,08:00,22:00,480,1320,14.0,ok
OS017,Saturday,5,08:00,22:00,480,1320,14.0,ok
OS017,Sunday,6,08:00,22:00,480,1320,14.0,ok
OS018,Saturday,5,11:00,22:00,660,1320,11.0,ok
OS019,Monday,0,07:30,16:00,450,960,8.5,ok
OS019,Tuesday,1,07:30,16:00,450,960,8.5,ok
OS019,Wednesday,2,07:30,16:00,450,960,8.5,ok
OS019,Thursday,3,07:30,16:00,450,960,8.5,ok
OS019,Friday,4,07:30,16:00,450,960,8.5,ok
OS020,Monday,0,08:00,21:00,480,1260,13.0,ok
OS020,Tuesday,1,08:00,21:00,480,1260,13.0,ok
OS020,Wednesday,2,08:00,21:00,480,1260,13.0,ok
OS020,Thursday,3,08:00,09:00,480,540,1.0,ok
OS020,Friday,4,08:00,21:00,480,1260,13.0,ok
OS020,Saturday,5,08:00,21:00,480,1260,13.0,ok
OS020,Sunday,6,08:00,21:00,480,1260,13.0,ok
OS021,Saturday,5,09:00,23:00,540,1380,14.0,ok
OS021,Sunday,6,09:00,21:00,540,1260,12.0,ok
OS022,Sunday,6,10:00,19:00,600,1140,9.0,ok
OS023,Saturday,5,09:00,16:00,540,960,7.0,ok
OS024,Monday,0,09:15,15:00,555,900,5.75,ok
OS024,Tuesday,1,09:15,15:00,555,900,5.75,ok
OS024,Wednesday,2,09:15,15:00,555,900,5.75,ok
OS024,Thursday,3,09:15,15:00,555,900,5.75,ok
OS024,Friday,4,09:15,15:00,555,900,5.75,ok
OS025,Monday,0,15:00,23:00,900,1380,8.0,ok
OS025,Tuesday,1,15:00,23:00,900,1380,8.0,ok
OS025,Wednesday,2,15:00,23:00,900,1380,8.0,ok
OS025,Thursday,3,15:00,23:00,900,1380,8.0,ok
OS025,Friday,4,15:00,23:00,900,1380,8.0,ok
OS025,Saturday,5,15:00,23:00,900,1380,8.0,ok
OS025,Sunday,6,15:00,23:00,900,1380,8.0,ok
OS026,Friday,4,16:00,23:00,960,1380,7.0,ok
OS026,Saturday,5,12:00,23:00,720,1380,11.0,ok
OS026,Sunday,6,12:00,23:00,720,1380,11.0,ok
OS027,Monday,0,07:00,17:00,420,1020,10.0,ok
OS027,Tuesday,1,07:00,17:00,420,1020,10.0,ok
OS027,Wednesday,2,07:00,17:00,420,1020,10.0,ok
OS027,Thursday,3,07:00,17:00,420,1020,10.0,ok
OS027,Friday,4,07:00,17:00,420,1020,10.0,ok
OS028,Monday,0,07:00,17:00,420,1020,10.0,ok
OS028,Tuesday,1,07:00,17:00,420,1020,10.0,ok
OS028,Wednesday,2,07:00,17:00,420,1020,10.0,ok
OS028,Thursday,3,07:00,17:00,420,1020,10.0,ok
OS028,Friday,4,07:00,17:00,420,1020,10.0,ok
OS029,Monday,0,11:00,21:00,660,1260,10.0,ok
OS029,Tuesday,1,11:00,21:00,660,1260,10.0,ok
OS029,Wednesday,2,11:00,21:00,660,1260,10.0,ok
OS029,Thursday,3,11:00,21:00,660,1260,10.0,ok
OS029,Friday,4,11:00,21:00,660,1260,10.0,ok
OS029,Saturday,5,11:00,21:00,660,1260,10.0,ok
OS029,Sunday,6,10:00,21:00,600,1260,11.0,ok
OS030,Thursday,3,15:00,21:00,900,1260,6.0,ok
OS030,Friday,4,15:00,22:00,900,1320,7.0,ok
OS030,Saturday,5,10:00,22:00,600,1320,12.0,ok
OS030,Sunday,6,10:00,21:00,600,1260,11.0,ok
OS031,Monday,0,07:00,17:00,420,1020,10.0,ok
OS031,Tuesday,1,07:00,17:00,420,1020,10.0,ok
OS031,Wednesday,2,07:00,17:00,420,1020,10.0,ok
OS031,Thursday,3,07:00,17:00,420,1020,10.0,ok
OS031,Friday,4,07:00,17:00,420,1020,10.0,ok
OS032,Monday,0,09:00,17:00,540,1020,8.0,ok
OS032,Tuesday,1,09:00,17:00,540,1020,8.0,ok
