site_id,Organization Name,Approved On Street,Borough Name,Approved From Street,Approved To Street,apprDaysWe,Status Type,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,Approved Sunday Close,apprStartD,apprEndDat,lionversion,segment_count,mapped_length_source_units,program_type,weekly_approved_hours,approved_days_per_week,invalid_time_records,approved_start_date,approved_end_date,listed_period_days,approved_open_days_over_period,total_approved_hours,total_hours_flag,geometry_wkt
OS001,PS 5,DEISIUS STREET,Staten Island,KINGDOM AVENUE,STECHER STREET,"mon,tue,wed,thu,fri",approvedFullSchools,07:30,15:00,07:30,15:00,07:30,15:00,07:30,15:00,07:30,15:00,,,,,09/05/2024,06/27/2025,23C,1,264.932398036,Full Closure: Schools,37.5,5,0,2024-09-05,2025-06-27,296,212,1590.0,ok,"LINESTRING (-74.187383 40.530277, -74.188224 40.529935)"
OS002,"Council of Jewish Organizations of Staten Island, a project of the Igud Harabonim of America Inc",SUFFOLK AVENUE,Staten Island,HAROLD STREET,QUEEN STREET,"fri,sat,sun",approvedFull,,,,,,,,,14:00,21:00,09:00,21:00,09:00,21:00,03/29/2024,10/31/2024,23C,2,455.151321706,Full Closure,31.0,3,0,2024-03-29,2024-10-31,217,93,961.0,ok,"MULTILINESTRING ((-74.127836 40.602878, -74.127716 40.602024), (-74.127716 40.602024, -74.127656 40.601636))"
OS003,"Council of Jewish Organizations of Staten Island, a project of the Igud Harabonim of America Inc",VERMONT COURT,Staten Island,GANSEVOORT BOULEVARD,SUFFOLK AVENUE,"fri,sat,sun",approvedFull,,,,,,,,,14:00,21:00,09:00,21:00,09:00,21:00,03/29/2024,10/31/2024,23C,1,421.392020366,Full Closure,31.0,3,0,2024-03-29,2024-10-31,217,93,961.0,ok,"LINESTRING (-74.1262 40.602086, -74.127716 40.602024)"
OS004,New Dorp Lane Management Association,9 STREET,Staten Island,ROSE AVENUE,NEW DORP LANE,"fri,sat,sun",approvedFull,,,,,,,,,19:00,23:00,18:00,23:00,18:00,23:00,05/24/2024,11/01/2024,23C,1,448.103939286,Full Closure,14.0,3,0,2024-05-24,2024-11-01,162,70,326.0,ok,"LINESTRING (-74.114808 40.573159, -74.115761 40.572167)"
OS005,"Merchants of third Avenue Civic improvement assoc, inc",3 AVENUE,Brooklyn,82 STREET,MARINE AVENUE,fri,approvedFull,,,,,,,,,16:00,22:00,,,,,07/19/2024,08/02/2024,23C,23,4362.742193733499,Full Closure,6.0,1,0,2024-07-19,2024-08-02,15,3,18.0,ok,"MULTILINESTRING ((-74.03419 40.615805, -74.034538 40.614939), (-74.034146 40.615913, -74.03419 40.615805), (-74.033313 40.617945, -74.033589 40.617276), (-74.033032 40.618641, -74.033313 40.617945), (-74.032959 40.618817, -74.033032 40.618641), (-74.032752 40.619323, -74.032959 40.618817), (-74.032647 40.619579, -74.032752 40.619323), (-74.032474 40.620004, -74.032647 40.619579), (-74.032327 40.620362, -74.032474 40.620004), (-74.032195 40.620687, -74.032327 40.620362), (-74.03205 40.621041, -74.032195 40.620687), (-74.031918 40.621367, -74.03205 40.621041), (-74.031639 40.622048, -74.031918 40.621367), (-74.03136 40.622729, -74.031639 40.622048), (-74.03106 40.623463, -74.03136 40.622729), (-74.030708 40.624328, -74.03106 40.623463), (-74.030427 40.62501, -74.030708 40.624328), (-74.030149 40.625691, -74.030427 40.62501), (-74.029871 40.626373, -74.030149 40.625691), (-74.033866 40.616594, -74.0339 40.616511), (-74.0339 40.616511, -74.034146 40.615913), (-74.033589 40.617276, -74.033613 40.617219), (-74.033613 40.617219, -74.033866 40.616594))"
OS006,Merchants Of third Avenue Civic Improvement assoc. Inc,3 AVENUE,Brooklyn,68 STREET,82 STREET,fri,approvedFull,,,,,,,,,16:00,22:00,,,,,07/26/2024,08/09/2024,23C,14,3851.083556445,Full Closure,6.0,1,0,2024-07-26,2024-08-09,15,3,18.0,ok,"MULTILINESTRING ((-74.029573 40.627104, -74.029871 40.626373), (-74.029275 40.627833, -74.029573 40.627104), (-74.028976 40.628564, -74.029275 40.627833), (-74.028678 40.629294, -74.028976 40.628564), (-74.02838 40.630023, -74.028678 40.629294), (-74.02808 40.630754, -74.02838 40.630023), (-74.027791 40.631463, -74.02808 40.630754), (-74.027507 40.632155, -74.027791 40.631463), (-74.02723 40.632836, -74.027507 40.632155), (-74.026951 40.633516, -74.02723 40.632836), (-74.02668 40.634197, -74.026951 40.633516), (-74.026379 40.634866, -74.02668 40.634197), (-74.02604 40.635741, -74.026379 40.634866), (-74.025746 40.636465, -74.02604 40.635741))"
OS007,PS 170K The Ralph A. Fabrizio School,71 STREET,Brooklyn,6 AVENUE,7 AVENUE,"mon,tue,wed,thu,fri",approvedFullSchools,14:30,15:00,14:30,15:00,14:30,15:00,14:30,15:00,14:30,15:00,,,,,09/05/2024,06/27/2025,23C,1,332.717429678,Full Closure: Schools,2.5,5,0,2024-09-05,2025-06-27,296,212,106.0,ok,"LINESTRING (-74.019063 40.631039, -74.018123 40.630472)"
OS008,Hometown Bar B Que,REED STREET,Brooklyn,CONOVER STREET,VAN BRUNT STREET,"tue,wed,thu,fri,sat,sun",approvedFull,,,16:00,22:00,16:00,22:00,16:00,22:00,16:00,23:00,12:00,23:00,12:00,22:00,04/01/2024,12/01/2024,23C,1,454.115102858,Full Closure,46.0,6,0,2024-04-01,2024-12-01,245,210,1610.0,ok,"LINESTRING (-74.016036 40.674679, -74.017263 40.675505)"
OS009,Alliance for Coney Island,WEST 12 STREET,Brooklyn,SURF AVENUE,BOWERY,sat,approvedFull,,,,,,,,,,,10:30,19:30,,,06/29/2024,07/27/2024,23C,1,279.146182738,Full Closure,9.0,1,0,2024-06-29,2024-07-27,29,5,45.0,ok,"LINESTRING (-73.979639 40.575537, -73.979643 40.574771)"
OS010,Federation of Italian American Organizations,BENSON AVENUE,Brooklyn,BAY 19 STREET,18 AVENUE,"mon,tue,wed,thu,fri",approvedFull,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,,,,,07/01/2024,08/09/2024,23C,1,168.022324909,Full Closure,35.0,5,0,2024-07-01,2024-08-09,40,30,210.0,ok,"LINESTRING (-74.004934 40.605074, -74.004446 40.604802)"
OS011,Bet Yaakov Yesodot Hatorah,82 STREET,Brooklyn,24 AVENUE,STILLWELL AVENUE,"mon,tue,wed,thu,fri",approvedFullSchools,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,10:00,11:00,,,,,09/09/2024,06/18/2025,23C,1,340.382923174,Full Closure: Schools,21.0,5,0,2024-09-09,2025-06-18,283,203,855.0,ok,"LINESTRING (-73.987025 40.601534, -73.98606 40.600958)"
OS012,PS 169 Sunset Park School,43 STREET,Brooklyn,8 AVENUE,7 AVENUE,"mon,thu,fri",approvedFullSchools,09:30,14:00,,,,,09:30,14:00,09:30,14:00,,,,,09/05/2024,06/27/2025,23C,1,778.422874359,Full Closure: Schools,13.5,3,0,2024-09-05,2025-06-27,296,128,576.0,ok,"LINESTRING (-74.001836 40.64637, -73.999639 40.645042)"
OS013,MASJID NUR AL ISLAM,CHESTER AVENUE,Brooklyn,CHURCH AVENUE,LOUISA STREET,fri,approvedFull,,,,,,,,,12:00,15:00,,,,,03/08/2024,03/31/2025,23C,1,410.018640785,Full Closure,3.0,1,0,2024-03-08,2025-03-31,389,56,168.0,ok,"LINESTRING (-73.983119 40.64254, -73.982445 40.641539)"
OS014,Red Hook Initiative,WEST 9 STREET,Brooklyn,HENRY STREET,HICKS STREET,"mon,tue,wed,thu,fri",approvedFull,07:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,15:00,,,,,07/01/2024,12/31/2024,23C,1,463.967848632,Full Closure,48.0,5,0,2024-07-01,2024-12-31,184,132,1270.0,ok,"LINESTRING (-74.004764 40.67671, -74.003194 40.676271)"
OS015,Living Traditions Inc.,COLUMBIA STREET,Brooklyn,HAMILTON AVENUE,WOODHULL STREET,sat,approvedFull,,,,,,,,,,,11:00,22:00,,,06/01/2024,07/13/2024,23C,1,216.27400544,Full Closure,11.0,1,0,2024-06-01,2024-07-13,43,7,77.0,ok,"LINESTRING (-74.004301 40.681708, -74.004569 40.68115)"
OS016,Mary McDowell Friends School,SUMMIT STREET,Brooklyn,HENRY STREET,HICKS STREET,"mon,tue,wed,thu,fri",approvedFullSchools,12:30,14:30,12:30,14:30,12:30,14:30,12:30,14:30,12:30,14:30,,,,,09/09/2024,06/27/2025,23C,1,459.637057391,Full Closure: Schools,10.0,5,0,2024-09-09,2025-06-27,292,210,420.0,ok,"LINESTRING (-74.002252 40.681893, -74.000694 40.681463)"
OS017,Park Slope Fifth Avenue BID,4 STREET,Brooklyn,5 AVENUE,DEAD END,"mon,tue,wed,thu,fri,sat,sun",approvedFull,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,01/08/2024,12/31/2024,23C,1,413.915290676,Full Closure,98.0,7,0,2024-01-08,2024-12-31,359,359,5026.0,ok,"LINESTRING (-73.985059 40.672787, -73.983786 40.672193)"
OS018,5th Avenue Open Streets Merchants Association,5 AVENUE,Brooklyn,PRESIDENT STREET,2 STREET,sat,approvedFull,,,,,,,,,,,11:00,22:00,,,05/04/2024,10/26/2024,23C,4,1014.0811204919999,Full Closure,11.0,1,0,2024-05-04,2024-10-26,176,26,286.0,ok,"MULTILINESTRING ((-73.982277 40.674, -73.982781 40.673399), (-73.981775 40.674602, -73.982277 40.674), (-73.981326 40.675146, -73.981775 40.674602), (-73.980889 40.675778, -73.981326 40.675146))"
OS019,Peck Slip School,PECK SLIP,Manhattan,WATER STREET,PEARL STREET,"mon,tue,wed,thu,fri",approvedFullSchools,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,,,,,09/05/2024,06/27/2025,23C,1,267.377222317,Full Closure: Schools,42.5,5,0,2024-09-05,2025-06-27,296,212,1802.0,ok,"LINESTRING (-74.002503 40.708846, -74.001899 40.708273)"
OS020,The Willowtown Assocation,JORALEMON STREET,Brooklyn,HICKS STREET,FURMAN STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:00,21:00,08:00,21:00,08:00,21:00,08:00,09:00,08:00,21:00,08:00,21:00,08:00,21:00,04/15/2024,10/31/2024,23C,3,717.342465326,Limited Local Access,79.0,7,0,2024-04-15,2024-10-31,200,200,2252.0,ok,"MULTILINESTRING ((-73.997609 40.6936, -73.996717 40.693439), (-73.99831 40.693731, -73.997609 40.6936), (-73.999072 40.693851, -73.99831 40.693731), (-73.999236 40.693886, -73.99921 40.69388), (-73.999132 40.693861, -73.999072 40.693851), (-73.99921 40.69388, -73.999132 40.693861))"
OS021,"Chinatown District Management Association, Inc. (aka Chinatown BID)",PELL STREET,Manhattan,MOTT STREET,BOWERY,"sat,sun",approvedFull,,,,,,,,,,,09:00,23:00,09:00,21:00,04/01/2024,10/31/2024,23C,2,489.76318896,Full Closure,26.0,2,0,2024-04-01,2024-10-31,214,60,780.0,ok,"MULTILINESTRING ((-73.998035 40.714825, -73.998867 40.714995), (-73.997165 40.714634, -73.998035 40.714825))"
