date,borough,median_asking_rent_usd,rental_inventory,rent_index,inventory_index,rent_change_from_baseline_usd,rent_growth_from_baseline_pct,inventory_change_from_baseline,inventory_growth_from_baseline_pct,rent_yoy_pct,inventory_yoy_pct
2016-07,Bronx,1700,708,100.0,100.0,0,0.0,0,0.0,,
2016-08,Bronx,1700,854,100.0,120.62146892655367,0,0.0,146,20.621468926553675,,
2016-09,Bronx,1700,883,100.0,124.7175141242938,0,0.0,175,24.7175141242938,,
2016-10,Bronx,1699,886,99.94117647058823,125.14124293785312,-1,-0.05882352941176805,178,25.14124293785312,,
2016-11,Bronx,1675,899,98.52941176470588,126.97740112994352,-25,-1.470588235294116,191,26.977401129943516,,
2016-12,Bronx,1700,816,100.0,115.2542372881356,0,0.0,108,15.254237288135599,,
2017-01,Bronx,1700,919,100.0,129.80225988700565,0,0.0,211,29.802259887005647,,
2017-02,Bronx,1675,940,98.52941176470588,132.7683615819209,-25,-1.470588235294116,232,32.768361581920914,,
2017-03,Bronx,1750,951,102.94117647058823,134.32203389830508,50,2.941176470588232,243,34.32203389830508,,
2017-04,Bronx,1749,921,102.88235294117646,130.08474576271186,49,2.882352941176464,213,30.08474576271186,,
2017-05,Bronx,1750,969,102.94117647058823,136.864406779661,50,2.941176470588232,261,36.86440677966101,,
2017-06,Bronx,1750,1006,102.94117647058823,142.090395480226,50,2.941176470588232,298,42.09039548022599,,
2017-07,Bronx,1750,953,102.94117647058823,134.6045197740113,50,2.941176470588232,245,34.604519774011294,2.941176470588225,34.60451977401129
2017-08,Bronx,1750,693,102.94117647058823,97.88135593220339,50,2.941176470588232,-15,-2.118644067796609,2.941176470588225,-18.852459016393443
2017-09,Bronx,1750,709,102.94117647058823,100.14124293785312,50,2.941176470588232,1,0.14124293785312148,2.941176470588225,-19.705549263873156
2017-10,Bronx,1795,794,105.58823529411765,112.14689265536724,95,5.588235294117652,86,12.146892655367239,5.650382577987045,-10.383747178329571
2017-11,Bronx,1750,757,102.94117647058823,106.92090395480224,50,2.941176470588232,49,6.920903954802242,4.477611940298498,-15.795328142380427
2017-12,Bronx,1750,657,102.94117647058823,92.79661016949152,50,2.941176470588232,-51,-7.203389830508485,2.941176470588225,-19.485294117647058
2018-01,Bronx,1790,683,105.29411764705883,96.46892655367232,90,5.294117647058826,-25,-3.5310734463276816,5.294117647058827,-25.680087051142543
2018-02,Bronx,1800,678,105.88235294117648,95.76271186440678,100,5.882352941176478,-30,-4.237288135593218,7.462686567164178,-27.872340425531917
2018-03,Bronx,1860,696,109.41176470588236,98.30508474576271,160,9.411764705882362,-12,-1.6949152542372872,6.2857142857142945,-26.813880126182966
2018-04,Bronx,1925,698,113.23529411764706,98.58757062146893,225,13.235294117647058,-10,-1.4124293785310726,10.062893081761004,-24.212812160694895
2018-05,Bronx,1900,793,111.76470588235294,112.00564971751412,200,11.764705882352942,85,12.005649717514117,8.571428571428562,-18.16305469556243
2018-06,Bronx,1940,826,114.11764705882352,116.66666666666667,240,14.117647058823522,118,16.66666666666667,10.857142857142854,-17.892644135188863
2018-07,Bronx,1900,924,111.76470588235294,130.5084745762712,200,11.764705882352942,216,30.508474576271198,8.571428571428562,-3.0430220356768123
2018-08,Bronx,1899,1054,111.70588235294116,148.87005649717514,199,11.70588235294116,346,48.87005649717514,8.51428571428572,52.0923520923521
2018-09,Bronx,1949,916,114.64705882352942,129.3785310734463,249,14.64705882352942,208,29.37853107344631,11.371428571428567,29.196050775740478
2018-10,Bronx,1940,1114,114.11764705882352,157.34463276836158,240,14.117647058823522,406,57.34463276836158,8.077994428969347,40.30226700251889
2018-11,Bronx,1825,1054,107.35294117647058,148.87005649717514,125,7.35294117647058,346,48.87005649717514,4.285714285714293,39.23381770145311
2018-12,Bronx,1850,976,108.8235294117647,137.85310734463278,150,8.823529411764696,268,37.853107344632775,5.714285714285716,48.55403348554033
2019-01,Bronx,1899,1053,111.70588235294116,148.72881355932205,199,11.70588235294116,345,48.72881355932205,6.0893854748603315,54.172767203513914
2019-02,Bronx,1875,1001,110.29411764705883,141.38418079096044,175,10.294117647058826,293,41.38418079096044,4.166666666666674,47.64011799410029
2019-03,Bronx,1890,1036,111.1764705882353,146.3276836158192,190,11.176470588235304,328,46.32768361581921,1.6129032258064502,48.85057471264367
2019-04,Bronx,1895,996,111.47058823529412,140.67796610169492,195,11.470588235294116,288,40.67796610169492,-1.558441558441559,42.693409742120345
2019-05,Bronx,1895,1121,111.47058823529412,158.33333333333331,195,11.470588235294116,413,58.333333333333314,-0.2631578947368429,41.361916771752824
2019-06,Bronx,1899,1002,111.70588235294116,141.52542372881356,199,11.70588235294116,294,41.525423728813564,-2.1134020618556737,21.307506053268767
2019-07,Bronx,1925,1081,113.23529411764706,152.68361581920905,225,13.235294117647058,373,52.68361581920905,1.3157894736842035,16.991341991342
2019-08,Bronx,1950,1027,114.70588235294117,145.05649717514123,250,14.705882352941174,319,45.05649717514123,2.6856240126382325,-2.561669829222013
2019-09,Bronx,2000,962,117.64705882352942,135.87570621468927,300,17.64705882352942,254,35.875706214689274,2.616726526423796,5.021834061135366
2019-10,Bronx,1970,865,115.88235294117648,122.17514124293784,270,15.882352941176478,157,22.17514124293784,1.546391752577314,-22.351885098743264
2019-11,Bronx,1938,818,113.99999999999999,115.5367231638418,238,13.999999999999986,110,15.536723163841799,6.191780821917803,-22.390891840607207
2019-12,Bronx,1920,702,112.94117647058823,99.15254237288136,220,12.941176470588232,-6,-0.8474576271186436,3.7837837837837895,-28.073770491803273
2020-01,Bronx,1950,695,114.70588235294117,98.1638418079096,250,14.705882352941174,-13,-1.8361581920903944,2.6856240126382325,-33.99810066476733
2020-02,Bronx,1995,629,117.3529411764706,88.84180790960453,295,17.352941176470594,-79,-11.158192090395474,6.400000000000006,-37.16283716283716
2020-03,Bronx,1995,553,117.3529411764706,78.10734463276836,295,17.352941176470594,-155,-21.89265536723164,5.555555555555558,-46.62162162162162
2020-04,Bronx,2000,398,117.64705882352942,56.21468926553672,300,17.64705882352942,-310,-43.78531073446328,5.54089709762533,-60.040160642570285
2020-05,Bronx,1975,549,116.1764705882353,77.54237288135593,275,16.176470588235304,-159,-22.45762711864407,4.221635883905006,-51.025869759143625
2020-06,Bronx,1979,662,116.41176470588235,93.50282485875707,279,16.411764705882348,-46,-6.497175141242934,4.212743549236442,-33.93213572854291
2020-07,Bronx,2000,761,117.64705882352942,107.48587570621469,300,17.64705882352942,53,7.485875706214685,3.8961038961038863,-29.60222016651248
2020-08,Bronx,1995,811,117.3529411764706,114.54802259887005,295,17.352941176470594,103,14.548022598870048,2.3076923076922995,-21.032132424537487
2020-09,Bronx,1995,797,117.3529411764706,112.57062146892656,295,17.352941176470594,89,12.57062146892656,-0.24999999999999467,-17.15176715176715
2020-10,Bronx,1930,781,113.52941176470588,110.31073446327684,230,13.529411764705884,73,10.310734463276845,-2.030456852791873,-9.710982658959534
2020-11,Bronx,1904,761,112.00000000000001,107.48587570621469,204,12.000000000000014,53,7.485875706214685,-1.7543859649122862,-6.968215158924207
2020-12,Bronx,1900,798,111.76470588235294,112.71186440677967,200,11.764705882352942,90,12.711864406779668,-1.041666666666663,13.675213675213671
2021-01,Bronx,1900,859,111.76470588235294,121.32768361581921,200,11.764705882352942,151,21.32768361581921,-2.564102564102566,23.59712230215827
2021-02,Bronx,1950,807,114.70588235294117,113.98305084745763,250,14.705882352941174,99,13.983050847457633,-2.2556390977443663,28.298887122416527
2021-03,Bronx,1904,823,112.00000000000001,116.24293785310735,204,12.000000000000014,115,16.24293785310735,-4.561403508771933,48.8245931283906
2021-04,Bronx,1950,805,114.70588235294117,113.7005649717514,250,14.705882352941174,97,13.700564971751405,-2.500000000000002,102.26130653266333
2021-05,Bronx,2000,776,117.64705882352942,109.6045197740113,300,17.64705882352942,68,9.604519774011294,1.2658227848101333,41.347905282331524
2021-06,Bronx,2000,895,117.64705882352942,126.41242937853107,300,17.64705882352942,187,26.412429378531073,1.0611419909045017,35.196374622356494
2021-07,Bronx,2050,937,120.58823529411764,132.34463276836158,350,20.588235294117638,229,32.34463276836158,2.499999999999991,23.127463863337706
2021-08,Bronx,2095,995,123.23529411764707,140.5367231638418,395,23.235294117647072,287,40.5367231638418,5.012531328320802,22.68803945745992
2021-09,Bronx,2010,864,118.23529411764706,122.03389830508475,310,18.235294117647058,156,22.033898305084747,0.7518796992481258,8.40652446675032
2021-10,Bronx,2000,862,117.64705882352942,121.75141242937852,300,17.64705882352942,154,21.75141242937852,3.626943005181338,10.371318822023046
2021-11,Bronx,2095,875,123.23529411764707,123.58757062146893,395,23.235294117647072,167,23.587570621468927,10.031512605042025,14.980289093298293
2021-12,Bronx,2100,765,123.52941176470588,108.05084745762711,400,23.529411764705884,57,8.050847457627114,10.526315789473696,-4.135338345864659
2022-01,Bronx,2095,803,123.23529411764707,113.4180790960452,395,23.235294117647072,95,13.418079096045204,10.26315789473684,-6.519208381839348
2022-02,Bronx,2199,859,129.35294117647058,121.32768361581921,499,29.35294117647058,151,21.32768361581921,12.769230769230777,6.443618339529111
2022-03,Bronx,2200,1003,129.41176470588235,141.66666666666669,500,29.411764705882348,295,41.666666666666686,15.546218487394947,21.87120291616038
2022-04,Bronx,2150,797,126.47058823529412,112.57062146892656,450,26.470588235294116,89,12.57062146892656,10.256410256410264,-0.9937888198757738
2022-05,Bronx,2247,907,132.1764705882353,128.10734463276836,547,32.176470588235304,199,28.10734463276836,12.349999999999994,16.881443298969078
2022-06,Bronx,2247,902,132.1764705882353,127.40112994350284,547,32.176470588235304,194,27.401129943502838,12.349999999999994,0.7821229050279266
2022-07,Bronx,2299,945,135.23529411764704,133.47457627118644,599,35.235294117647044,237,33.474576271186436,12.146341463414645,0.8537886872998834
2022-08,Bronx,2300,974,135.29411764705884,137.57062146892656,600,35.29411764705884,266,37.57062146892656,9.785202863961807,-2.1105527638190957
2022-09,Bronx,2300,888,135.29411764705884,125.42372881355932,600,35.29411764705884,180,25.423728813559322,14.427860696517403,2.777777777777768
2022-10,Bronx,2295,939,135.0,132.6271186440678,595,35.0,231,32.62711864406779,14.749999999999996,8.93271461716938
2022-11,Bronx,2275,963,133.8235294117647,136.01694915254237,575,33.823529411764696,255,36.01694915254237,8.591885441527447,10.057142857142853
2022-12,Bronx,2250,928,132.35294117647058,131.0734463276836,550,32.35294117647058,220,31.073446327683598,7.14285714285714,21.307189542483652
2023-01,Bronx,2250,955,132.35294117647058,134.8870056497175,550,32.35294117647058,247,34.88700564971751,7.398568019093088,18.92901618929017
2023-02,Bronx,2387,943,140.41176470588235,133.19209039548022,687,40.41176470588235,235,33.19209039548022,8.549340609367896,9.778812572759033
2023-03,Bronx,2300,1045,135.29411764705884,147.59887005649716,600,35.29411764705884,337,47.59887005649716,4.545454545454541,4.187437686939188
2023-04,Bronx,2495,892,146.76470588235293,125.98870056497175,795,46.76470588235293,184,25.98870056497175,16.04651162790698,11.91969887076536
2023-05,Bronx,2500,983,147.05882352941177,138.8418079096045,800,47.05882352941177,275,38.84180790960451,11.259457053849587,8.379272326350605
2023-06,Bronx,2599,893,152.88235294117646,126.12994350282484,899,52.882352941176464,185,26.129943502824844,15.665331553182016,-0.9977827050997812
2023-07,Bronx,2576,885,151.52941176470588,125.0,876,51.529411764705884,177,25.0,12.048716833405827,-6.349206349206349
2023-08,Bronx,2595,1056,152.6470588235294,149.15254237288136,895,52.64705882352939,348,49.152542372881356,12.826086956521742,8.41889117043122
2023-09,Bronx,2650,934,155.88235294117646,131.92090395480224,950,55.882352941176464,226,31.92090395480224,15.217391304347828,5.180180180180183
2023-10,Bronx,2550,968,150.0,136.72316384180792,850,50.0,260,36.72316384180792,11.111111111111116,3.088391906283272
2023-11,Bronx,2550,903,150.0,127.54237288135593,850,50.0,195,27.54237288135593,12.08791208791209,-6.230529595015577
2023-12,Bronx,2500,826,147.05882352941177,116.66666666666667,800,47.05882352941177,118,16.66666666666667,11.111111111111116,-10.99137931034483
2024-01,Bronx,2595,917,152.6470588235294,129.51977401129943,895,52.64705882352939,209,29.519774011299432,15.333333333333332,-3.9790575916230364
2024-02,Bronx,2600,908,152.94117647058823,128.24858757062148,900,52.94117647058823,200,28.24858757062148,8.923334729786347,-3.711558854718977
2024-03,Bronx,2600,956,152.94117647058823,135.02824858757063,900,52.94117647058823,248,35.02824858757063,13.043478260869556,-8.516746411483256
2024-04,Bronx,2728,911,160.47058823529412,128.6723163841808,1028,60.470588235294116,203,28.67231638418079,9.338677354709413,2.130044843049328
2024-05,Bronx,2871,972,168.88235294117646,137.28813559322032,1171,68.88235294117646,264,37.28813559322032,14.840000000000009,-1.1190233977619535
2024-06,Bronx,2844,1026,167.2941176470588,144.91525423728814,1144,67.29411764705881,318,44.91525423728814,9.42670257791458,14.893617021276606
2024-07,Bronx,2825,1134,166.1764705882353,160.16949152542372,1125,66.1764705882353,426,60.16949152542372,9.666149068322971,28.135593220338983
2024-08,Bronx,2815,1102,165.58823529411762,155.6497175141243,1115,65.58823529411762,394,55.64971751412429,8.477842003853574,4.356060606060597
2024-09,Bronx,2865,1036,168.52941176470588,146.3276836158192,1165,68.52941176470588,328,46.32768361581921,8.113207547169822,10.920770877944319
2024-10,Bronx,2899,1052,170.52941176470588,148.58757062146893,1199,70.52941176470588,344,48.58757062146893,13.68627450980393,8.677685950413228
2024-11,Bronx,2850,1010,167.64705882352942,142.65536723163842,1150,67.64705882352942,302,42.65536723163842,11.764705882352944,11.849390919158353
2024-12,Bronx,2875,935,169.11764705882354,132.06214689265536,1175,69.11764705882354,227,32.06214689265536,14.999999999999991,13.196125907990307
2025-01,Bronx,2813,1034,165.47058823529412,146.045197740113,1113,65.47058823529412,326,46.045197740113,8.400770712909434,12.758996728462368
2025-02,Bronx,2717,975,159.8235294117647,137.71186440677968,1017,59.823529411764696,267,37.71186440677968,4.499999999999993,7.378854625550657
2025-03,Bronx,2800,1092,164.70588235294116,154.23728813559322,1100,64.70588235294116,384,54.23728813559322,7.692307692307687,14.225941422594147
2025-04,Bronx,2995,1134,176.1764705882353,160.16949152542372,1295,76.1764705882353,426,60.16949152542372,9.787390029325515,24.47859495060374
2025-05,Bronx,3000,1104,176.47058823529412,155.9322033898305,1300,76.47058823529412,396,55.932203389830505,4.493207941483801,13.58024691358024
2025-06,Bronx,3050,1046,179.41176470588235,147.74011299435028,1350,79.41176470588235,338,47.740112994350284,7.243319268635728,1.949317738791434
2025-07,Bronx,3000,1025,176.47058823529412,144.77401129943505,1300,76.47058823529412,317,44.774011299435045,6.194690265486735,-9.611992945326275
2025-08,Bronx,3060,1024,180.0,144.63276836158192,1360,80.0,316,44.632768361581924,8.703374777975137,-7.078039927404722
2025-09,Bronx,3000,1207,176.47058823529412,170.48022598870057,1300,76.47058823529412,499,70.48022598870057,4.712041884816753,16.5057915057915
2025-10,Bronx,3100,1328,182.35294117647058,187.57062146892656,1400,82.35294117647058,620,87.57062146892656,6.933425319075548,26.23574144486691
2025-11,Bronx,3100,997,182.35294117647058,140.81920903954804,1400,82.35294117647058,289,40.81920903954804,8.771929824561408,-1.2871287128712883
2025-12,Bronx,3060,902,180.0,127.40112994350284,1360,80.0,194,27.401129943502838,6.434782608695655,-3.529411764705881
2026-01,Bronx,2903,912,170.76470588235296,128.81355932203388,1203,70.76470588235296,204,28.813559322033882,3.1994312122289426,-11.798839458413923
2026-02,Bronx,3050,932,179.41176470588235,131.63841807909606,1350,79.41176470588235,224,31.638418079096056,12.256164887743836,-4.410256410256408
