neighborhood_id,neighborhood,longitude,latitude,baseline_rent_usd,latest_rent_usd,growth_pct,origin_graph_node,origin_snap_m,euclidean_nearest_stop_id,euclidean_nearest_station,euclidean_nearest_distance_m,status,target_stop_id,target_station,target_routes,station_graph_node,station_snap_m,path_edge_distance_m,reconstructed_distance_m,network_distance_m,euclidean_distance_m,extra_distance_m,detour_ratio,estimated_walk_minutes,path_node_count,target_differs_from_euclidean_nearest
battery_park_city,Battery Park City,-74.016300,40.711300,4750.000000,5758.000000,21.200000,11424681238,15.930038,138,WTC Cortlandt,352.509389,reachable,138,WTC Cortlandt,1,10288458872,16.966463,499.420808,532.317310,532.317310,352.509389,179.807920,1.510080,6.653966,19,False
central_harlem,Central Harlem,-73.944200,40.811600,2500.000000,3600.000000,44.000000,5481924126,87.765179,224,135 St,411.078026,reachable,225,125 St,2 3,42453246,6.979438,632.812050,727.556667,727.556667,440.852921,286.703746,1.650339,9.094458,21,True
central_park_south,Central Park South,-73.979700,40.766900,7400.000000,12500.000000,68.900000,14053118743,15.049827,A24,59 St-Columbus Circle,231.477325,reachable,125,59 St-Columbus Circle,1 2,10183983963,9.843503,241.052286,265.945616,265.945616,240.399603,25.546013,1.106265,3.324320,7,True
chelsea,Chelsea,-74.001400,40.746500,4200.000000,6131.000000,46.000000,42437909,4.848951,A30,23 St,291.258179,reachable,A30,23 St,A C E,8356688617,0.608010,323.448113,328.905074,328.905074,291.258179,37.646895,1.129256,4.111313,7,False
chinatown,Chinatown,-73.996800,40.715800,2800.000000,4380.000000,56.400000,8105679235,19.774757,M20,Canal St,364.740837,reachable,M20,Canal St,J Z,8307641559,8.038630,448.363095,476.176482,476.176482,364.740837,111.435645,1.305520,5.952206,15,False
east_harlem,East Harlem,-73.941900,40.795700,2450.000000,3250.000000,32.700000,8809269773,19.336255,623,110 St,212.216664,reachable,623,110 St,4 6 6X,7811793770,19.513062,293.257464,332.106780,332.106780,212.216664,119.890116,1.564942,4.151335,11,False
east_village,East Village,-73.984000,40.726500,3300.000000,5250.000000,59.100000,4216045812,50.699566,L06,1 Av,533.556318,reachable,L06,1 Av,L,9882223240,10.297149,671.234005,732.230719,732.230719,533.556318,198.674402,1.372359,9.152884,19,False
financial_district,Financial District,-74.010000,40.707500,3695.000000,4925.000000,33.300000,8276468650,22.054356,230,Wall St,107.097462,reachable,230,Wall St,2 3,8276468642,12.649762,131.349525,166.053643,166.053643,107.097462,58.956181,1.550491,2.075671,3,False
flatiron,Flatiron,-73.990300,40.741100,5000.000000,6593.000000,31.900000,8265964365,17.037576,R19,23 St,83.834473,reachable,R19,23 St,N Q R W,3884612884,7.784076,115.735872,140.557525,140.557525,83.834473,56.723052,1.676608,1.756969,5,False
gramercy_park,Gramercy Park,-73.985100,40.737900,3600.000000,5350.000000,48.600000,12468200147,1.110380,634,23 St-Baruch College,252.187546,reachable,634,23 St-Baruch College,4 6 6X,13650263108,32.078727,360.225433,393.414541,393.414541,252.187546,141.226996,1.560008,4.917682,9,False
greenwich_village,Greenwich Village,-73.997300,40.733600,3900.000000,5850.000000,50.000000,8309478829,86.010212,A32,W 4 St-Wash Sq,304.109109,reachable,A32,W 4 St-Wash Sq,A C E,8309478818,11.898829,306.992369,404.901411,404.901411,304.109109,100.792302,1.331435,5.061268,7,False
hamilton_heights,Hamilton Heights,-73.949600,40.826200,2300.000000,3250.000000,41.300000,11842618674,56.069871,114,145 St,75.029387,reachable,114,145 St,1,561035361,16.412414,49.829804,122.312089,122.312089,75.029387,47.282702,1.630189,1.528901,4,False
inwood,Inwood,-73.921700,40.867700,1875.000000,2795.000000,49.100000,8952453931,27.948000,A02,Inwood-207 St,157.348635,reachable,A02,Inwood-207 St,A,9561229751,3.247271,142.854180,174.049452,174.049452,157.348635,16.700817,1.106139,2.175618,5,False
little_italy,Little Italy,-73.997500,40.719100,3500.000000,5250.000000,50.000000,8307641586,21.766023,639,Canal St,229.913082,reachable,M20,Canal St,J Z,8307641559,8.038630,315.682267,345.486920,345.486920,231.032406,114.454515,1.495405,4.318587,10,True
lower_east_side,Lower East Side,-73.989700,40.718400,3391.000000,5100.000000,50.400000,13031223582,46.429216,F15,Delancey St-Essex St,136.037257,reachable,M18,Delancey St-Essex St,J M Z,7465370988,19.668032,283.594482,349.691729,349.691729,191.438452,158.253277,1.826654,4.371147,7,True
marble_hill,Marble Hill,-73.910600,40.876300,1660.000000,3275.000000,97.300000,10868090698,78.264200,107,215 St,857.464428,reachable,107,215 St,1,11587266255,11.708796,1187.870346,1277.843342,1277.843342,857.464428,420.378914,1.490258,15.973042,23,False
midtown,Midtown,-73.984500,40.754900,4200.000000,5765.000000,37.300000,13342733051,17.189680,D16,42 St-Bryant Pk,75.516187,reachable,D16,42 St-Bryant Pk,B D F FX M,10169532639,12.138516,90.398153,119.726348,119.726348,75.516187,44.210162,1.585440,1.496579,3,False
midtown_east,Midtown East,-73.971200,40.754000,3400.000000,5095.000000,49.900000,3830786443,60.186166,630,51 St,350.344643,reachable,630,51 St,4 6 6X,10173080158,10.893257,588.237954,659.317377,659.317377,350.344643,308.972734,1.881911,8.241467,12,False
midtown_south,Midtown South,-73.985000,40.749000,3930.000000,5450.000000,38.700000,6350462399,51.025755,D17,34 St-Herald Sq,251.424942,reachable,632,33 St,4 6 6X,8119507319,33.030339,621.874795,705.930890,705.930890,407.500352,298.430537,1.732344,8.824136,14,True
midtown_west,Midtown West,-73.992200,40.761000,3433.000000,4930.000000,43.600000,10168047573,95.146512,A27,42 St-Port Authority Bus Terminal,459.802375,reachable,A25,50 St,A C E,10168088515,18.361959,696.225229,809.733701,809.733701,549.201144,260.532557,1.474385,10.121671,14,True
morningside_heights,Morningside Heights,-73.962600,40.807500,3400.000000,4800.000000,41.200000,6831699331,14.175646,117,116 St-Columbia University,129.775352,reachable,117,116 St-Columbia University,1,3271250939,20.499436,148.183104,182.858186,182.858186,129.775352,53.082834,1.409036,2.285727,7,False
nolita,Nolita,-73.995200,40.722300,3695.000000,5495.000000,48.700000,9215097950,6.281521,638,Spring St,163.989488,reachable,638,Spring St,4 6 6X,5152337883,4.493917,249.465202,260.240640,260.240640,163.989488,96.251152,1.586935,3.253008,9,False
roosevelt_island,Roosevelt Island,-73.949600,40.761700,3390.000000,4550.000000,34.200000,8265114608,22.980183,B06,Roosevelt Island,419.537799,reachable,B06,Roosevelt Island,F M,8265114427,24.143055,391.137364,438.260603,438.260603,419.537799,18.722804,1.044627,5.478258,10,False
soho,Soho,-74.001600,40.724000,5000.000000,6250.000000,25.000000,7465090845,35.892038,A33,Spring St,306.293557,reachable,A33,Spring St,A C E,8307641857,11.949483,354.256534,402.098054,402.098054,306.293557,95.804497,1.312787,5.026226,11,False
stuyvesant_town_pcv,Stuyvesant Town/PCV,-73.976600,40.731700,4480.000000,6799.000000,51.800000,7144880222,5.363739,L06,1 Av,432.768221,reachable,L06,1 Av,L,9882223240,10.297149,709.624397,725.285285,725.285285,432.768221,292.517064,1.675921,9.066066,34,False
tribeca,Tribeca,-74.008600,40.716300,8700.000000,8750.000000,0.600000,7410938065,30.855562,137,Chambers St,107.233719,reachable,137,Chambers St,1 2 3,11517225777,10.027352,80.885037,121.767951,121.767951,107.233719,14.534233,1.135538,1.522099,8,False
upper_east_side,Upper East Side,-73.956000,40.773600,2995.000000,4425.000000,47.700000,8258925523,71.099374,627,77 St,327.058558,reachable,627,77 St,4 6 6X,10172784999,10.380721,509.685587,591.165681,591.165681,327.058558,264.107123,1.807522,7.389571,8,False
upper_west_side,Upper West Side,-73.976200,40.787000,3500.000000,4800.000000,37.100000,10039938744,44.253865,121,86 St,182.571384,reachable,121,86 St,1 2,11655743701,34.877368,215.915483,295.046715,295.046715,182.571384,112.475331,1.616062,3.688084,5,False
washington_heights,Washington Heights,-73.938900,40.842000,2195.000000,3000.000000,36.700000,12027274599,18.030696,A09,168 St,152.788218,reachable,A07,175 St,A,9566938954,13.648792,708.870610,740.550098,740.550098,602.499677,138.050422,1.229129,9.256876,24,True
west_harlem,West Harlem,-73.952000,40.821600,2800.000000,3800.000000,35.700000,13564503820,33.877657,115,137 St-City College,148.471157,reachable,115,137 St-City College,1,561035354,6.796121,144.898535,185.572313,185.572313,148.471157,37.101156,1.249888,2.319654,8,False
west_village,West Village,-74.005900,40.735800,3995.000000,6300.000000,57.700000,8307463840,4.265446,133,Christopher St-Stonewall,365.645898,reachable,133,Christopher St-Stonewall,1 2,4320028825,10.833512,500.545512,515.644470,515.644470,365.645898,149.998573,1.410229,6.445556,15,False
