area_id,area_name,borough,longitude,latitude,baseline_month,latest_month,baseline_rent_usd,latest_rent_usd,rent_change_usd,growth_pct,min_rent_usd,max_rent_usd,observation_months,source,source_url
battery_park_city,Battery Park City,Manhattan,-74.0163,40.7113,2016-07,2026-06,4750,5758,1008,21.2,3750,6250,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
central_harlem,Central Harlem,Manhattan,-73.9442,40.8116,2016-07,2026-06,2500,3600,1100,44.0,2295,3600,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
central_park_south,Central Park South,Manhattan,-73.9797,40.7669,2016-07,2026-06,7400,12500,5100,68.9,6185,14000,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
chelsea,Chelsea,Manhattan,-74.0014,40.7465,2016-07,2026-06,4200,6131,1931,46.0,3313,6142,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
chinatown,Chinatown,Manhattan,-73.9968,40.7158,2016-07,2026-06,2800,4380,1580,56.4,2050,4380,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
east_harlem,East Harlem,Manhattan,-73.9419,40.7957,2016-07,2026-06,2450,3250,800,32.7,2025,3250,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
east_village,East Village,Manhattan,-73.984,40.7265,2016-07,2026-06,3300,5250,1950,59.1,2500,5495,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
financial_district,Financial District,Manhattan,-74.01,40.7075,2016-07,2026-06,3695,4925,1230,33.3,3070,4925,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
flatiron,Flatiron,Manhattan,-73.9903,40.7411,2016-07,2026-06,5000,6593,1593,31.9,3900,6595,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
gramercy_park,Gramercy Park,Manhattan,-73.9851,40.7379,2016-07,2026-06,3600,5350,1750,48.6,2850,5695,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
greenwich_village,Greenwich Village,Manhattan,-73.9973,40.7336,2016-07,2026-06,3900,5850,1950,50.0,3000,5895,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
hamilton_heights,Hamilton Heights,Manhattan,-73.9496,40.8262,2016-07,2026-06,2300,3250,950,41.3,2180,3250,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
inwood,Inwood,Manhattan,-73.9217,40.8677,2016-07,2026-06,1875,2795,920,49.1,1750,3225,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
little_italy,Little Italy,Manhattan,-73.9975,40.7191,2016-07,2026-06,3500,5250,1750,50.0,2325,5700,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
lower_east_side,Lower East Side,Manhattan,-73.9897,40.7184,2016-07,2026-06,3391,5100,1709,50.4,2665,5300,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
marble_hill,Marble Hill,Manhattan,-73.9106,40.8763,2016-07,2026-06,1660,3275,1615,97.3,1620,3350,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
midtown,Midtown,Manhattan,-73.9845,40.7549,2016-07,2026-06,4200,5765,1565,37.3,3400,6000,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
midtown_east,Midtown East,Manhattan,-73.9712,40.754,2016-07,2026-06,3400,5095,1695,49.9,2700,5095,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
midtown_south,Midtown South,Manhattan,-73.985,40.749,2016-07,2026-06,3930,5450,1520,38.7,3100,5450,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
midtown_west,Midtown West,Manhattan,-73.9922,40.761,2016-07,2026-06,3433,4930,1497,43.6,2800,4930,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
morningside_heights,Morningside Heights,Manhattan,-73.9626,40.8075,2016-07,2026-06,3400,4800,1400,41.2,2795,4985,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
nolita,Nolita,Manhattan,-73.9952,40.7223,2016-07,2026-06,3695,5495,1800,48.7,2625,5630,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
roosevelt_island,Roosevelt Island,Manhattan,-73.9496,40.7617,2016-07,2026-06,3390,4550,1160,34.2,2875,4750,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
soho,Soho,Manhattan,-74.0016,40.724,2016-07,2026-06,5000,6250,1250,25.0,3695,10950,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
stuyvesant_town_pcv,Stuyvesant Town/PCV,Manhattan,-73.9766,40.7317,2016-07,2026-06,4480,6799,2319,51.8,3452,6799,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
tribeca,Tribeca,Manhattan,-74.0086,40.7163,2016-07,2026-06,8700,8750,50,0.6,5200,11999,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
upper_east_side,Upper East Side,Manhattan,-73.956,40.7736,2016-07,2026-06,2995,4425,1430,47.7,2395,4425,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
upper_west_side,Upper West Side,Manhattan,-73.9762,40.787,2016-07,2026-06,3500,4800,1300,37.1,2795,4918,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
washington_heights,Washington Heights,Manhattan,-73.9389,40.842,2016-07,2026-06,2195,3000,805,36.7,2000,3000,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
west_harlem,West Harlem,Manhattan,-73.952,40.8216,2016-07,2026-06,2800,3800,1000,35.7,2287,4000,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
west_village,West Village,Manhattan,-74.0059,40.7358,2016-07,2026-06,3995,6300,2305,57.7,3000,6300,120,"StreetEasy Data Dashboard master report, medianAskingRent_All.csv",https://cdn-charts.streeteasy.com/Master%20Report.zip
