date,borough,median_asking_rent_usd,rental_inventory,baseline_rent_usd,baseline_inventory,rent_change_usd,rent_growth_pct,rent_index,inventory_index
2016-07,Bronx,1700,708,1700,708,0,0.0,100.0,100.0
2016-08,Bronx,1700,854,1700,708,0,0.0,100.0,120.62146892655367
2016-09,Bronx,1700,883,1700,708,0,0.0,100.0,124.7175141242938
2016-10,Bronx,1699,886,1700,708,-1,-0.0588235294117647,99.94117647058823,125.14124293785312
2016-11,Bronx,1675,899,1700,708,-25,-1.4705882352941175,98.52941176470588,126.97740112994352
2016-12,Bronx,1700,816,1700,708,0,0.0,100.0,115.2542372881356
2017-01,Bronx,1700,919,1700,708,0,0.0,100.0,129.80225988700565
2017-02,Bronx,1675,940,1700,708,-25,-1.4705882352941175,98.52941176470588,132.7683615819209
2017-03,Bronx,1750,951,1700,708,50,2.941176470588235,102.94117647058823,134.32203389830508
2017-04,Bronx,1749,921,1700,708,49,2.8823529411764706,102.88235294117646,130.08474576271186
2017-05,Bronx,1750,969,1700,708,50,2.941176470588235,102.94117647058823,136.864406779661
2017-06,Bronx,1750,1006,1700,708,50,2.941176470588235,102.94117647058823,142.090395480226
2017-07,Bronx,1750,953,1700,708,50,2.941176470588235,102.94117647058823,134.6045197740113
2017-08,Bronx,1750,693,1700,708,50,2.941176470588235,102.94117647058823,97.88135593220339
2017-09,Bronx,1750,709,1700,708,50,2.941176470588235,102.94117647058823,100.14124293785312
2017-10,Bronx,1795,794,1700,708,95,5.588235294117648,105.58823529411765,112.14689265536724
2017-11,Bronx,1750,757,1700,708,50,2.941176470588235,102.94117647058823,106.92090395480224
2017-12,Bronx,1750,657,1700,708,50,2.941176470588235,102.94117647058823,92.79661016949152
2018-01,Bronx,1790,683,1700,708,90,5.294117647058823,105.29411764705883,96.46892655367232
2018-02,Bronx,1800,678,1700,708,100,5.88235294117647,105.88235294117648,95.76271186440678
2018-03,Bronx,1860,696,1700,708,160,9.411764705882353,109.41176470588236,98.30508474576271
2018-04,Bronx,1925,698,1700,708,225,13.23529411764706,113.23529411764706,98.58757062146893
2018-05,Bronx,1900,793,1700,708,200,11.76470588235294,111.76470588235294,112.00564971751412
2018-06,Bronx,1940,826,1700,708,240,14.117647058823529,114.11764705882352,116.66666666666667
2018-07,Bronx,1900,924,1700,708,200,11.76470588235294,111.76470588235294,130.5084745762712
2018-08,Bronx,1899,1054,1700,708,199,11.705882352941178,111.70588235294116,148.87005649717514
2018-09,Bronx,1949,916,1700,708,249,14.647058823529413,114.64705882352942,129.3785310734463
2018-10,Bronx,1940,1114,1700,708,240,14.117647058823529,114.11764705882352,157.34463276836158
2018-11,Bronx,1825,1054,1700,708,125,7.352941176470589,107.35294117647058,148.87005649717514
2018-12,Bronx,1850,976,1700,708,150,8.823529411764707,108.8235294117647,137.85310734463278
2019-01,Bronx,1899,1053,1700,708,199,11.705882352941178,111.70588235294116,148.72881355932205
2019-02,Bronx,1875,1001,1700,708,175,10.294117647058822,110.29411764705883,141.38418079096044
2019-03,Bronx,1890,1036,1700,708,190,11.176470588235295,111.1764705882353,146.3276836158192
2019-04,Bronx,1895,996,1700,708,195,11.470588235294118,111.47058823529412,140.67796610169492
2019-05,Bronx,1895,1121,1700,708,195,11.470588235294118,111.47058823529412,158.33333333333331
2019-06,Bronx,1899,1002,1700,708,199,11.705882352941178,111.70588235294116,141.52542372881356
2019-07,Bronx,1925,1081,1700,708,225,13.23529411764706,113.23529411764706,152.68361581920905
2019-08,Bronx,1950,1027,1700,708,250,14.705882352941178,114.70588235294117,145.05649717514123
2019-09,Bronx,2000,962,1700,708,300,17.647058823529413,117.64705882352942,135.87570621468927
2019-10,Bronx,1970,865,1700,708,270,15.88235294117647,115.88235294117648,122.17514124293784
2019-11,Bronx,1938,818,1700,708,238,14.000000000000002,113.99999999999999,115.5367231638418
2019-12,Bronx,1920,702,1700,708,220,12.941176470588237,112.94117647058823,99.15254237288136
2020-01,Bronx,1950,695,1700,708,250,14.705882352941178,114.70588235294117,98.1638418079096
2020-02,Bronx,1995,629,1700,708,295,17.352941176470587,117.3529411764706,88.84180790960453
2020-03,Bronx,1995,553,1700,708,295,17.352941176470587,117.3529411764706,78.10734463276836
2020-04,Bronx,2000,398,1700,708,300,17.647058823529413,117.64705882352942,56.21468926553672
2020-05,Bronx,1975,549,1700,708,275,16.176470588235293,116.1764705882353,77.54237288135593
2020-06,Bronx,1979,662,1700,708,279,16.411764705882355,116.41176470588235,93.50282485875707
2020-07,Bronx,2000,761,1700,708,300,17.647058823529413,117.64705882352942,107.48587570621469
2020-08,Bronx,1995,811,1700,708,295,17.352941176470587,117.3529411764706,114.54802259887005
2020-09,Bronx,1995,797,1700,708,295,17.352941176470587,117.3529411764706,112.57062146892656
2020-10,Bronx,1930,781,1700,708,230,13.529411764705882,113.52941176470588,110.31073446327684
2020-11,Bronx,1904,761,1700,708,204,12.0,112.00000000000001,107.48587570621469
2020-12,Bronx,1900,798,1700,708,200,11.76470588235294,111.76470588235294,112.71186440677967
2021-01,Bronx,1900,859,1700,708,200,11.76470588235294,111.76470588235294,121.32768361581921
2021-02,Bronx,1950,807,1700,708,250,14.705882352941178,114.70588235294117,113.98305084745763
2021-03,Bronx,1904,823,1700,708,204,12.0,112.00000000000001,116.24293785310735
2021-04,Bronx,1950,805,1700,708,250,14.705882352941178,114.70588235294117,113.7005649717514
2021-05,Bronx,2000,776,1700,708,300,17.647058823529413,117.64705882352942,109.6045197740113
2021-06,Bronx,2000,895,1700,708,300,17.647058823529413,117.64705882352942,126.41242937853107
2021-07,Bronx,2050,937,1700,708,350,20.588235294117645,120.58823529411764,132.34463276836158
2021-08,Bronx,2095,995,1700,708,395,23.235294117647058,123.23529411764707,140.5367231638418
2021-09,Bronx,2010,864,1700,708,310,18.235294117647058,118.23529411764706,122.03389830508475
2021-10,Bronx,2000,862,1700,708,300,17.647058823529413,117.64705882352942,121.75141242937852
2021-11,Bronx,2095,875,1700,708,395,23.235294117647058,123.23529411764707,123.58757062146893
2021-12,Bronx,2100,765,1700,708,400,23.52941176470588,123.52941176470588,108.05084745762711
2022-01,Bronx,2095,803,1700,708,395,23.235294117647058,123.23529411764707,113.4180790960452
2022-02,Bronx,2199,859,1700,708,499,29.352941176470587,129.35294117647058,121.32768361581921
2022-03,Bronx,2200,1003,1700,708,500,29.411764705882355,129.41176470588235,141.66666666666669
2022-04,Bronx,2150,797,1700,708,450,26.47058823529412,126.47058823529412,112.57062146892656
2022-05,Bronx,2247,907,1700,708,547,32.1764705882353,132.1764705882353,128.10734463276836
2022-06,Bronx,2247,902,1700,708,547,32.1764705882353,132.1764705882353,127.40112994350284
2022-07,Bronx,2299,945,1700,708,599,35.23529411764706,135.23529411764704,133.47457627118644
2022-08,Bronx,2300,974,1700,708,600,35.294117647058826,135.29411764705884,137.57062146892656
2022-09,Bronx,2300,888,1700,708,600,35.294117647058826,135.29411764705884,125.42372881355932
2022-10,Bronx,2295,939,1700,708,595,35.0,135.0,132.6271186440678
2022-11,Bronx,2275,963,1700,708,575,33.82352941176471,133.8235294117647,136.01694915254237
2022-12,Bronx,2250,928,1700,708,550,32.35294117647059,132.35294117647058,131.0734463276836
2023-01,Bronx,2250,955,1700,708,550,32.35294117647059,132.35294117647058,134.8870056497175
2023-02,Bronx,2387,943,1700,708,687,40.411764705882355,140.41176470588235,133.19209039548022
2023-03,Bronx,2300,1045,1700,708,600,35.294117647058826,135.29411764705884,147.59887005649716
2023-04,Bronx,2495,892,1700,708,795,46.76470588235294,146.76470588235293,125.98870056497175
2023-05,Bronx,2500,983,1700,708,800,47.05882352941176,147.05882352941177,138.8418079096045
2023-06,Bronx,2599,893,1700,708,899,52.88235294117647,152.88235294117646,126.12994350282484
2023-07,Bronx,2576,885,1700,708,876,51.52941176470588,151.52941176470588,125.0
2023-08,Bronx,2595,1056,1700,708,895,52.64705882352941,152.6470588235294,149.15254237288136
2023-09,Bronx,2650,934,1700,708,950,55.88235294117647,155.88235294117646,131.92090395480224
2023-10,Bronx,2550,968,1700,708,850,50.0,150.0,136.72316384180792
2023-11,Bronx,2550,903,1700,708,850,50.0,150.0,127.54237288135593
2023-12,Bronx,2500,826,1700,708,800,47.05882352941176,147.05882352941177,116.66666666666667
2024-01,Bronx,2595,917,1700,708,895,52.64705882352941,152.6470588235294,129.51977401129943
2024-02,Bronx,2600,908,1700,708,900,52.94117647058824,152.94117647058823,128.24858757062148
2024-03,Bronx,2600,956,1700,708,900,52.94117647058824,152.94117647058823,135.02824858757063
2024-04,Bronx,2728,911,1700,708,1028,60.47058823529412,160.47058823529412,128.6723163841808
2024-05,Bronx,2871,972,1700,708,1171,68.88235294117648,168.88235294117646,137.28813559322032
2024-06,Bronx,2844,1026,1700,708,1144,67.29411764705883,167.2941176470588,144.91525423728814
2024-07,Bronx,2825,1134,1700,708,1125,66.17647058823529,166.1764705882353,160.16949152542372
2024-08,Bronx,2815,1102,1700,708,1115,65.58823529411765,165.58823529411762,155.6497175141243
2024-09,Bronx,2865,1036,1700,708,1165,68.52941176470588,168.52941176470588,146.3276836158192
2024-10,Bronx,2899,1052,1700,708,1199,70.52941176470588,170.52941176470588,148.58757062146893
2024-11,Bronx,2850,1010,1700,708,1150,67.64705882352942,167.64705882352942,142.65536723163842
2024-12,Bronx,2875,935,1700,708,1175,69.11764705882352,169.11764705882354,132.06214689265536
2025-01,Bronx,2813,1034,1700,708,1113,65.47058823529412,165.47058823529412,146.045197740113
2025-02,Bronx,2717,975,1700,708,1017,59.82352941176471,159.8235294117647,137.71186440677968
2025-03,Bronx,2800,1092,1700,708,1100,64.70588235294117,164.70588235294116,154.23728813559322
2025-04,Bronx,2995,1134,1700,708,1295,76.17647058823529,176.1764705882353,160.16949152542372
2025-05,Bronx,3000,1104,1700,708,1300,76.47058823529412,176.47058823529412,155.9322033898305
2025-06,Bronx,3050,1046,1700,708,1350,79.41176470588235,179.41176470588235,147.74011299435028
2025-07,Bronx,3000,1025,1700,708,1300,76.47058823529412,176.47058823529412,144.77401129943505
2025-08,Bronx,3060,1024,1700,708,1360,80.0,180.0,144.63276836158192
2025-09,Bronx,3000,1207,1700,708,1300,76.47058823529412,176.47058823529412,170.48022598870057
2025-10,Bronx,3100,1328,1700,708,1400,82.35294117647058,182.35294117647058,187.57062146892656
2025-11,Bronx,3100,997,1700,708,1400,82.35294117647058,182.35294117647058,140.81920903954804
2025-12,Bronx,3060,902,1700,708,1360,80.0,180.0,127.40112994350284
2026-01,Bronx,2903,912,1700,708,1203,70.76470588235294,170.76470588235296,128.81355932203388
2026-02,Bronx,3050,932,1700,708,1350,79.41176470588235,179.41176470588235,131.63841807909606
2026-03,Bronx,2900,955,1700,708,1200,70.58823529411765,170.58823529411765,134.8870056497175
2026-04,Bronx,2900,894,1700,708,1200,70.58823529411765,170.58823529411765,126.27118644067797
2026-05,Bronx,2950,977,1700,708,1250,73.52941176470588,173.52941176470588,137.99435028248587
2026-06,Bronx,2995,1007,1700,708,1295,76.17647058823529,176.1764705882353,142.2316384180791
2016-07,Brooklyn,2699,12829,2699,12829,0,0.0,100.0,100.0
2016-08,Brooklyn,2690,13638,2699,12829,-9,-0.33345683586513525,99.66654316413486,106.3060254111778
2016-09,Brooklyn,2650,12637,2699,12829,-49,-1.8154872174879586,98.18451278251204,98.50339075531997
2016-10,Brooklyn,2600,11481,2699,12829,-99,-3.6680251945164875,96.33197480548351,89.49255592797569
2016-11,Brooklyn,2525,11422,2699,12829,-174,-6.446832160059281,93.55316783994073,89.03266037882922
2016-12,Brooklyn,2500,10565,2699,12829,-199,-7.373101148573545,92.62689885142646,82.35248265648141
2017-01,Brooklyn,2500,12296,2699,12829,-199,-7.373101148573545,92.62689885142646,95.84535037804973
2017-02,Brooklyn,2500,12260,2699,12829,-199,-7.373101148573545,92.62689885142646,95.56473614467222
2017-03,Brooklyn,2495,14364,2699,12829,-204,-7.558354946276398,92.4416450537236,111.96507911762413
2017-04,Brooklyn,2500,14495,2699,12829,-199,-7.373101148573545,92.62689885142646,112.9862031335256
2017-05,Brooklyn,2500,16793,2699,12829,-199,-7.373101148573545,92.62689885142646,130.89874503078963
2017-06,Brooklyn,2570,18363,2699,12829,-129,-4.7795479807336045,95.2204520192664,143.13664354197522
2017-07,Brooklyn,2600,18185,2699,12829,-99,-3.6680251945164875,96.33197480548351,141.74916205471976
