date,borough,medianAskingRent,rentalInventory
2016-07,Manhattan,3400,24171
2016-07,Brooklyn,2699,12829
2016-07,Queens,2305,4049
2016-07,Bronx,1700,708
2016-07,Staten Island,2050,75
2016-08,Manhattan,3350,24867
2016-08,Brooklyn,2690,13638
2016-08,Queens,2395,4139
2016-08,Bronx,1700,854
2016-08,Staten Island,2000,96
2016-09,Manhattan,3400,22205
2016-09,Brooklyn,2650,12637
2016-09,Queens,2300,4109
2016-09,Bronx,1700,883
2016-09,Staten Island,2000,99
2016-10,Manhattan,3360,21480
2016-10,Brooklyn,2600,11481
2016-10,Queens,2290,4158
2016-10,Bronx,1699,886
2016-10,Staten Island,1950,104
2016-11,Manhattan,3300,20764
2016-11,Brooklyn,2525,11422
2016-11,Queens,2250,4191
2016-11,Bronx,1675,899
2016-11,Staten Island,1900,120
2016-12,Manhattan,3250,19127
2016-12,Brooklyn,2500,10565
2016-12,Queens,2250,3945
2016-12,Bronx,1700,816
2016-12,Staten Island,1950,100
2017-01,Manhattan,3235,20888
2017-01,Brooklyn,2500,12296
2017-01,Queens,2200,4771
2017-01,Bronx,1700,919
2017-01,Staten Island,1900,95
2017-02,Manhattan,3255,20148
2017-02,Brooklyn,2500,12260
2017-02,Queens,2200,5153
2017-02,Bronx,1675,940
2017-02,Staten Island,1935,95
2017-03,Manhattan,3250,22209
2017-03,Brooklyn,2495,14364
2017-03,Queens,2200,6043
2017-03,Bronx,1750,951
2017-03,Staten Island,1899,112
2017-04,Manhattan,3300,22479
2017-04,Brooklyn,2500,14495
2017-04,Queens,2200,5941
2017-04,Bronx,1749,921
2017-04,Staten Island,1900,106
2017-05,Manhattan,3323,25209
2017-05,Brooklyn,2500,16793
2017-05,Queens,2200,6594
2017-05,Bronx,1750,969
2017-05,Staten Island,2000,124
2017-06,Manhattan,3300,26668
2017-06,Brooklyn,2570,18363
2017-06,Queens,2249,7224
2017-06,Bronx,1750,1006
2017-06,Staten Island,2050,93
2017-07,Manhattan,3300,26122
2017-07,Brooklyn,2600,18185
2017-07,Queens,2250,7094
2017-07,Bronx,1750,953
2017-07,Staten Island,1995,89
2017-08,Manhattan,3350,21811
2017-08,Brooklyn,2660,13151
2017-08,Queens,2300,4431
2017-08,Bronx,1750,693
2017-08,Staten Island,2000,37
2017-09,Manhattan,3350,19927
2017-09,Brooklyn,2600,12450
2017-09,Queens,2260,4528
2017-09,Bronx,1750,709
2017-09,Staten Island,1800,53
2017-10,Manhattan,3300,20040
2017-10,Brooklyn,2536,12929
2017-10,Queens,2200,4829
2017-10,Bronx,1795,794
2017-10,Staten Island,1875,51
2017-11,Manhattan,3231,18385
2017-11,Brooklyn,2500,12153
2017-11,Queens,2200,4554
2017-11,Bronx,1750,757
2017-11,Staten Island,1900,75
2017-12,Manhattan,3250,16524
2017-12,Brooklyn,2475,10599
2017-12,Queens,2200,4152
2017-12,Bronx,1750,657
2017-12,Staten Island,1950,77
2018-01,Manhattan,3245,17731
2018-01,Brooklyn,2450,11570
2018-01,Queens,2195,4595
2018-01,Bronx,1790,683
2018-01,Staten Island,1850,93
2018-02,Manhattan,3214,17117
2018-02,Brooklyn,2450,11273
2018-02,Queens,2150,4716
2018-02,Bronx,1800,678
2018-02,Staten Island,1850,89
2018-03,Manhattan,3200,18408
2018-03,Brooklyn,2495,12266
2018-03,Queens,2200,5253
2018-03,Bronx,1860,696
2018-03,Staten Island,1850,100
2018-04,Manhattan,3250,19760
2018-04,Brooklyn,2500,13206
2018-04,Queens,2200,5122
2018-04,Bronx,1925,698
2018-04,Staten Island,1832,71
2018-05,Manhattan,3300,21730
2018-05,Brooklyn,2595,15350
2018-05,Queens,2200,5432
2018-05,Bronx,1900,793
2018-05,Staten Island,1832,82
