source,title,property_type,address_text,area_sqm,rent_month_yuan,rent_day_yuan_per_sqm,rent_day_yuan_per_sqm_est,lat,lng,has_coord,has_rent_month,has_rent_day,area_raw,rent_month_raw,rent_day_raw,coord_raw
bright,(出租)直租！盒马电梯出口10平招餐饮小吃米线烤串烧饼旅游,购物百货中心,盒马鲜生(杨闸环岛店)-北京市朝阳区,10.0,5500.0,,18.333333333333332,39.918853,116.610894,True,True,True,10㎡,5500元/月,18.33元/m/天（价格可面议）,"('39.918853', '116.610894')"
bright,(出租)直租立水桥临街美食城外卖档口15～100平主餐饮全业态,临街门面,立水桥-地铁站-北京市朝阳区,30.0,,,,40.059247,116.418267,True,False,False,30㎡,租金面议,,"('40.059247', '116.418267')"
bright,(出租)大望路地铁站金地中心临街一层20到150招租品牌餐饮小吃,临街门面,新世界百货(大望路店)-北京市朝阳区,150.0,36000.0,8.0,8.0,39.914942,116.479173,True,True,True,150㎡,3.6万/月,8元/m/天,"('39.914942', '116.479173')"
bright,(出租)房山城关中医院及小学对面临街13米大门脸房全业态招商！,商业街店铺,亿达生活广场,261.0,51700.0,6.6,6.6,39.702359,115.991144,True,True,True,261㎡,5.17万/月,6.6元/m/天,"('39.702359', '115.991144')"
bright,(转让)朝外SOHO154平餐饮店转让，固定客源+高流量，白领消费高,商业街店铺,朝外SOHO,154.0,18000.0,28.0,28.0,39.925733,116.461265,True,True,True,154㎡,1.8万/月,转让费：28万元,"('39.925733', '116.461265')"
bright,(出租)新出东四环餐饮商铺出租适合盖饭米线黄焖鸡等项目,临街门面,朝阳-大望路详细地址请咨询,60.0,,,,39.904522,116.497858,True,False,False,60㎡,租金面议,,"('39.904522', '116.497858')"
bright,(出租)直租立水桥临主街1一层12米展面商铺100平全业态,临街门面,立水桥-地铁站-北京市朝阳区,100.0,,,,40.059247,116.418267,True,False,False,100㎡,租金面议,,"('40.059247', '116.418267')"
bright,(出租)大成路附近160平米餐饮商铺招租水电燃气齐全品类不限,商业街店铺,丰台-小屯路详细地址请咨询,160.0,33600.0,7.0,7.0,39.895673,116.262652,True,True,True,160㎡,3.36万/月,7元/m/天,"('39.895673', '116.262652')"
bright,(出租)丰体时代大厦商铺开发商直租,商业街店铺,丰台-丰台体育馆丰体南路1号,3675.0,,,,39.873011,116.276743,True,False,False,3675㎡,租金面议,,"('39.873011', '116.276743')"
bright,(出租)西城区阜内大街89号临街底商旺铺房东直租,临街门面,阜成门内大街-89,165.0,50000.0,10.1,10.1,39.930064,116.37678,True,True,True,165㎡,5万/月,10.1元/m/天,"('39.930064', '116.37678')"
bright,(出租)通州餐饮旺铺转让无转让费物业直租设备齐全外摆接手即可启动,社区底商,通州-武夷花园河滨路1号,188.0,29300.0,,5.195035460992908,39.925967,116.685688,True,True,True,188㎡,2.93万/月,5.2元/m/天（价格可面议）,"('39.925967', '116.685688')"
bright,(转让)转让新辰里圣熙八号双商圈餐饮260平米,商业街店铺,新辰里(学清路店)-北京市海淀区,260.0,,,,40.014363,116.360899,True,False,False,260㎡,租金面议,转让费：面议,"('40.014363', '116.360899')"
bright,(出租)（开发商直租）润棠瀛海长租社区临街130平底商不可做餐饮,社区底商,大兴-瀛海镇瀛吉街,130.0,17600.0,,4.512820512820513,39.768081,116.44264,True,True,True,130㎡,1.76万/月,4.5元/m/天（价格可面议）,"('39.768081', '116.44264')"
bright,(出租)十里堡地铁口300平米招特色餐饮,临街门面,朝阳-十里堡朝阳北路,300.0,,,,39.929394,116.511166,True,False,False,300㎡,租金面议,,"('39.929394', '116.511166')"
bright,(转让)德胜门商业街面包连锁蛋糕店转让客流密集位置好,临街门面,TOUSlesJOURS多乐之日(新风里店),101.2,36000.0,35.0,35.0,39.967792,116.381939,True,True,True,101.2㎡,3.6万/月,转让费：35万元,"('39.967792', '116.381939')"
bright,(出租)新出朝阳双井商业街商铺，面积120平，适合足疗，养生，美容等,商业街店铺,朝阳-双井广渠路,120.0,16900.0,,4.694444444444445,39.898856,116.475324,True,True,True,120㎡,1.69万/月,4.7元/m/天（价格可面议）,"('39.898856', '116.475324')"
bright,(出租)通州北关站步行商业街商铺出租全业态业主直租,社区底商,通州-武夷花园河滨路1号,2012.0,241400.0,,3.9993373094764744,39.925967,116.685688,True,True,True,2012㎡,24.14万/月,4元/m/天（价格可面议）,"('39.925967', '116.685688')"
bright,(出租)通州北关站步行商业街商铺出租全业态业主直租,社区底商,通州-武夷花园河滨路1号,2800.0,378000.0,,4.5,39.925967,116.685688,True,True,True,2800㎡,37.8万/月,4.5元/m/天（价格可面议）,"('39.925967', '116.685688')"
bright,(出租)直租976平餐饮培训瑜伽美容美发养生茶馆会所,商业街店铺,西城-白纸坊右安门内大街,976.0,164000.0,,5.601092896174864,39.88612,116.373083,True,True,True,976㎡,16.4万/月,5.6元/m/天（价格可面议）,"('39.88612', '116.373083')"
bright,(出租)回龙观龙腾苑二区临街商铺出租420平可租无其他费用,临街门面,龙腾苑-二区,210.0,22000.0,3.49,3.49,40.083172,116.343681,True,True,True,210㎡,2.2万/月,3.49元/m/天,"('40.083172', '116.343681')"
bright,(出租)南锣鼓巷什刹海临街独栋餐饮店铺火热招商！精装，赠超大露台,临街门面,东城-交道口南锣鼓巷,210.0,25000.0,,3.9682539682539684,39.943333,116.409722,True,True,True,210㎡,2.5万/月,3.97元/m/天（费用可面议）,"('39.943333', '116.409722')"
bright,(出租)农大林大核心区餐饮旺铺出租，自带客流量,商业街店铺,圣熙8号购物中心-1号楼-北京市海淀区,260.0,,,,40.014376,116.361394,True,False,False,260㎡,租金面议,,"('40.014376', '116.361394')"
bright,(出租)(北商)朝阳西大望路平乐园地铁c口纯一层商铺出租,临街门面,友金大厦-北京市朝阳区,380.0,90000.0,,7.894736842105263,39.890609,116.48447,True,True,True,380㎡,9万/月,7.89元/m/天（费用可面议）,"('39.890609', '116.48447')"
bright,(出租)（开发商直租）润棠瀛海长租社区临街130平底商不可做餐饮,社区底商,大兴-瀛海镇瀛吉街,130.0,17600.0,,4.512820512820513,39.768081,116.44264,True,True,True,130㎡,1.76万/月,4.5元/m/天（价格可面议）,"('39.768081', '116.44264')"
bright,(出租)邻三环900平米适合办公会所餐饮茶楼娱乐,临街门面,苏皖大厦,900.0,94500.0,3.5,3.5,39.852427,116.344356,True,True,True,900㎡,9.45万/月,3.5元/m/天,"('39.852427', '116.344356')"
bright,(出租)朝阳北苑临街底商出租，，会所，餐饮多种业态交通便利,临街门面,润泽悦溪-北京市朝阳区,1315.0,157800.0,,4.0,40.059175,116.436711,True,True,True,1315㎡,15.78万/月,4元/m/天（价格可面议）,"('40.059175', '116.436711')"
bright,(出租)海淀中关村大型写字楼临街底商160平招餐饮有餐饮照,商业街店铺,中国电子大厦-北京市海淀区,160.0,36000.0,7.5,7.5,39.98551,116.318315,True,True,True,160㎡,3.6万/月,7.5元/m/天,"('39.98551', '116.318315')"
bright,(出租)该房源位于大成路西口公交车站旁，临街商铺，地段繁华，,社区底商,丰台-小屯路大成路,200.0,60000.0,,10.0,,,False,True,True,200㎡,6万/月,10元/m/天（费用可面议）, 
bright,(出租)平安里地铁口100m临街商铺11m展示面可餐饮,商业街店铺,西城-西四西四北大街156号,150.0,45000.0,,10.0,39.933374,116.380001,True,True,True,150㎡,4.5万/月,10元/m/天（价格可面议）,"('39.933374', '116.380001')"
bright,(出租)安慧北里逸园28号楼临街底商旺铺直租,临街门面,安慧北里逸园南区-28号楼,316.0,105000.0,11.08,11.08,40.005405,116.419745,True,True,True,316㎡,10.5万/月,11.08元/m/天,"('40.005405', '116.419745')"
bright,(出租)带装修西餐设备无转让费可做全业态餐饮业主直租外摆区面宽20米,临街门面,通州-运河大街芙蓉北路,390.0,58500.0,,5.0,39.926857,116.685327,True,True,True,390㎡,5.85万/月,5元/m/天（价格可面议）,"('39.926857', '116.685327')"
