Title,Note,URL,Tags,Comment
,,,,
Enoki - Asian Pantry & Vintage Clothing,,https://www.google.com/maps/place/Enoki+-+Asian+Pantry+%26+Vintage+Clothing/data=!4m2!3m1!1s0x89dda7b1ee791e7f:0x5f134941011324c4,,
HYDERABADI ZAIQA,,https://www.google.com/maps/place/HYDERABADI+ZAIQA/data=!4m2!3m1!1s0x89c25939865415e7:0x7bb00b793c2bd3a5,,
SOMA Soho,,https://www.google.com/maps/place/SOMA+Soho/data=!4m2!3m1!1s0x4876053faaf0e393:0xd5147c56940818b1,,
Hartley's,,https://www.google.com/maps/place/Hartley's/data=!4m2!3m1!1s0x89c25ba2cc74ff23:0x6a3df91b387fdd2f,,
Best Tofu,,https://www.google.com/maps/place/Best+Tofu/data=!4m2!3m1!1s0x47e66de6fad2e781:0x80c09d3c22b11eca,,
? Tea (Question Mark Tea) - Columbia University,,https://www.google.com/maps/place/%3F+Tea+(Question+Mark+Tea)+-+Columbia+University/data=!4m2!3m1!1s0x89c2f7ca99007cf3:0xb62031affdc62786,,
Chez Panisse,,https://www.google.com/maps/place/Chez+Panisse/data=!4m2!3m1!1s0x80857ea1255c8b71:0x4163509ac1eb5cf9,,
"Graduate School of Architecture, Planning and Preservation",,"https://www.google.com/maps/place/Graduate+School+of+Architecture,+Planning+and+Preservation/data=!4m2!3m1!1s0x89c2f63e15b82c1f:0xc8993b2047562494",,
Road Sign,,https://www.google.com/maps/place/Road+Sign/data=!4m2!3m1!1s0x3442aba7fea66f7f:0x31e9ce81d1cdf6e,,
Professor.E Taipei,,https://www.google.com/maps/place/Professor.E+Taipei/data=!4m2!3m1!1s0x3442a91af6fc01d3:0x3524c80e62898017,,
Cambridge Chemists,,https://www.google.com/maps/place/Cambridge+Chemists/data=!4m2!3m1!1s0x89c258eecd19675d:0xb36f0b3c60399690,,
C.O. Bigelow Chemists,,https://www.google.com/maps/place/C.O.+Bigelow+Chemists/data=!4m2!3m1!1s0x89c25996bfe6de2b:0x52ecd6d1e3a4389f,,
Eve Beauty Koreatown,,https://www.google.com/maps/place/Eve+Beauty+Koreatown/data=!4m2!3m1!1s0x89c259cffce4a499:0x6e55c9c6e0908cf6,,
The Original Roy Hutchins Barbeque,,https://www.google.com/maps/place/The+Original+Roy+Hutchins+Barbeque/data=!4m2!3m1!1s0x864dd3d7ea55b0d5:0x781abfc4d556a999,,
Scent Bar NYC,,https://www.google.com/maps/place/Scent+Bar+NYC/data=!4m2!3m1!1s0x89c2598f72dd7f2d:0x201398d9682e1c34,,
Aedes Perfumery,,https://www.google.com/maps/place/Aedes+Perfumery/data=!4m2!3m1!1s0x89c259969f336d7b:0x212d755f3f079656,,
HIEN FROM VIETNAM,,https://www.google.com/maps/place/HIEN+FROM+VIETNAM/data=!4m2!3m1!1s0x89c2590ad7b66ebd:0x3ea74c96879990b4,,
Westerly Museum of American Impressionism,,https://www.google.com/maps/place/Westerly+Museum+of+American+Impressionism/data=!4m2!3m1!1s0x89e5e700718b4867:0x38afd17a682dd5c6,,
Cinder Restaurant,,https://www.google.com/maps/place/Cinder+Restaurant/data=!4m2!3m1!1s0x89e5e77289275563:0x397192dda451e1f9,,
