neighborhood,zone,percent_damaged,centroid_lon,centroid_lat,polygon_wkt
Aleppo Citadel,Inner,44.4444,37.163050615533386,36.19949787160008,"POLYGON((37.16347013200004 36.19779348600008,37.16173543900004 36.19775759600009,37.160610879000046 36.19836772900004,37.16022805100005 36.199121423000065,37.16044339200005 36.20005456900009,37.16125690300004 36.20070059200009,37.16192685300007 36.20093986000006,37.163087303000054 36.20095182400007,37.16367351000008 36.20091593300009,37.16427168000007 36.20084415300005,37.165228752000075 36.20024598300006,37.16552783700007 36.19965977600009,37.165611581000064 36.198918045000084,37.165216789000056 36.19840361900009,37.16347013200004 36.19779348600008))"
Farafira,Inner,58.6583,37.16021775190915,36.202422771636435,"POLYGON((37.162501097000074 36.204169979000085,37.163087303000054 36.20095182400007,37.16192685300007 36.20093986000006,37.16125690300004 36.20070059200009,37.16044339200005 36.20005456900009,37.15644761600004 36.20006653200005,37.15607675000007 36.20227976100006,37.15714149300004 36.20488778300006,37.16034207100006 36.20424766700006,37.16067069600007 36.20418194200005,37.162501097000074 36.204169979000085))"
Bayadah,Inner,17.0418,37.165818377000065,36.201419250785776,"POLYGON((37.168135859000074 36.201645701000075,37.16808800500007 36.19983922700004,37.16716682300006 36.19964781300007,37.16571925200009 36.19997082500004,37.16552783700007 36.19965977600009,37.165228752000075 36.20024598300006,37.16427168000007 36.20084415300005,37.16367351000008 36.20091593300009,37.163087303000054 36.20095182400007,37.162501097000074 36.204169979000085,37.16494163100003 36.20421783200004,37.16739412800007 36.20379911300006,37.16758554200004 36.20231565100005,37.168135859000074 36.201645701000075))"
Al Jalloum,Inner,30.1813,37.15740862726093,36.197160221565284,"POLYGON((37.16022805100005 36.199121423000065,37.160610879000046 36.19836772900004,37.16173543900004 36.19775759600009,37.16142439100008 36.196597146000045,37.16215415800008 36.19592719500008,37.16073051300009 36.19617842700006,37.159605954000085 36.196609109000065,37.15837372300007 36.196668926000086,37.15823016300004 36.19604682900007,37.157871260000036 36.195795598000075,37.157679846000065 36.194288209000035,37.156411726000044 36.19441980700009,37.15595711600008 36.19504190300006,37.15562214100004 36.194300173000045,37.150788927000065 36.19477870900005,37.151274552000075 36.19839391800008,37.15131876500004 36.19879591600005,37.151338328000065 36.198786416000075,37.15541876300006 36.19877448500006,37.156504673000086 36.198793058000035,37.15644761600004 36.20006653200005,37.16044339200005 36.20005456900009,37.16022805100005 36.199121423000065))"
al Aqabeh,Inner,65.6109,37.153749135416724,36.20049235483339,"POLYGON((37.151338328000065 36.198786416000075,37.15131876500004 36.19879591600005,37.15146180000005 36.200096400000064,37.15183494300004 36.20246265800006,37.152954600000044 36.20237170000007,37.15419420000006 36.20235610000009,37.15610085900005 36.202338816000065,37.15607675000007 36.20227976100006,37.15644761600004 36.20006653200005,37.156504673000086 36.198793058000035,37.15541876300006 36.19877448500006,37.151338328000065 36.198786416000075))"
Abraj,Inner,16.6163,37.168727192428626,36.2022165258572,"POLYGON((37.17027730700005 36.20403838100009,37.16933219900005 36.19983922700004,37.16808800500007 36.19983922700004,37.168135859000074 36.201645701000075,37.16758554200004 36.20231565100005,37.16739412800007 36.20379911300006,37.17027730700005 36.20403838100009))"
Sajlikhan,Inner,6.76692,37.17322254725006,36.20028935018755,"POLYGON((37.17601974000007 36.20040150700004,37.177311787000065 36.199276947000044,37.176916995000056 36.19898982600006,37.17426112000004 36.198666814000035,37.17421326600004 36.19842754600006,37.172993000000076 36.198678777000055,37.172299122000084 36.19860699700007,37.171509538000066 36.19982726400008,37.17094725800007 36.20007849500007,37.170851551000055 36.19987511800008,37.16933219900005 36.19983922700004,37.17027730700005 36.20403838100009,37.17121045300007 36.203691442000036,37.17325619400009 36.20210031000005,37.17414148600005 36.20172944500007,37.17601974000007 36.20040150700004))"
Qadi Askar,Inner,16.2088,37.17441257670595,36.20333185452947,"POLYGON((37.17387829100005 36.20384696700006,37.17403381500009 36.203057382000054,37.17469180300009 36.20346413800007,37.175014814000065 36.203129163000085,37.17685948700006 36.20434277900006,37.177742470000055 36.20492367300005,37.177659050000045 36.203829993000056,37.177311787000065 36.199276947000044,37.17601974000007 36.20040150700004,37.17414148600005 36.20172944500007,37.17325619400009 36.20210031000005,37.17121045300007 36.203691442000036,37.17027730700005 36.20403838100009,37.17156935500009 36.204983490000075,37.17347153600008 36.205593623000084,37.17399792500004 36.204385320000085,37.17387829100005 36.20384696700006))"
Karm Al Qaterji,Inner,23.3846,37.1809460008572,36.19913104221434,"POLYGON((37.18427091800004 36.19906537400004,37.18377360000005 36.192813380000075,37.18377123100004 36.19278359700007,37.17970235300004 36.19340225700006,37.176632848000054 36.193235694000066,37.176746017000085 36.19424268700004,37.177311787000065 36.199276947000044,37.177659050000045 36.203829993000056,37.177742470000055 36.20492367300005,37.17856021100005 36.20622755100004,37.18050122500006 36.205673886000056,37.18631725400007 36.20401465300006,37.185984130000065 36.199279525000065,37.18427091800004 36.19906537400004))"
Jouret Awwad,Inner,25.743,37.18882490725006,36.19695435062506,"POLYGON((37.193503226000075 36.19989818500005,37.19302733400008 36.19147489300008,37.18377123100004 36.19278359700007,37.18377360000005 36.192813380000075,37.18427091800004 36.19906537400004,37.185984130000065 36.199279525000065,37.19276559300005 36.20042166600007,37.193503226000075 36.19989818500005))"
