pops_number,corridor_order,address,building_name,year,era,public_space_type,plaza_area_sf,hour_of_access_required,has_24h_access,accessibility,amenity_count,amenity_level,has_seating,has_tables,has_landscape,has_lighting,has_signage,has_litter,has_water,provision_score,score_band,image_path,amenities_required,other_required,permitted_amenities,latitude,longitude
M050060,1,1095 SIXTH AVENUE,Bell Atlantic,1971,1970s,Special Permit Plaza; Subway Concourse,17034.18,24 Hours,True,Full or partial,13,Extensive,True,True,True,True,True,True,True,100,Extensive,images/M050060.jpg,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Programs; Seating; Subway; Tables; Trees on Street; Trees within Space,,,40.754754,-73.985006
M050057,2,1114 SIXTH AVENUE,Grace,1971,1970s,Arcade; Plaza,19659.59,24 Hours,True,Full or partial,10,Extensive,True,True,True,True,True,True,True,100,Extensive,images/M050057.jpg,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees within Space,,Open Air Cafe,40.754825,-73.982848
M050055,3,1133 SIXTH AVENUE,,1969,1960s,Plaza,5177.0,24 Hours,True,Full or partial,4,Moderate,True,False,True,False,True,True,False,57,Moderate,images/M050055.jpg,Litter Receptacles; Planting; Plaque/Sign; Seating,,,40.756057,-73.983866
M050054,4,1155 SIXTH AVENUE,,1983,1980s,Arcade; Sidewalk Widening; Urban Plaza,4258.0,24 Hours,True,Full or partial,10,Extensive,True,False,True,True,True,True,True,86,Extensive,images/M050054.jpg,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space,,,40.756672,-73.98336
M050052,5,1166 SIXTH AVENUE,,1972,1970s,Arcade; Plaza; Through Block Plaza,22794.5,24 Hours; Restricted Hours,True,Full or partial,12,Extensive,True,True,True,True,True,True,True,100,Extensive,images/M050052.jpg,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Tables; Trees on Street; Trees within Space; Water Feature,florist or food concession adjacent to the Through Block Plaza,,40.75682,-73.981851
M050048,6,1185 SIXTH AVENUE,Stevens Tower,1970,1970s,Basement Concourse; Landscaped Pedestrian Plaza; Special Permit Plaza,16129.37,24 Hours,True,None documented,9,Extensive,True,True,True,True,False,False,True,71,Extensive,images/M050048.jpg,Escalator; Food Service; Lighting; Other Required; Planting; Seating; Subway; Tables; Trees within Space; Water Feature,legitimate theater of 300 to 450 seats below grade and accessed from the Landscaped Pedestrian Plaza,,40.757899,-73.982519
M050047,7,1211 SIXTH AVENUE,1211 Avenue of the Americas,1973,1970s,Plaza; Subway Concourse; Through Block Arcade,21872.0,24 Hours,True,Full or partial,4,Moderate,False,False,False,True,False,False,False,14,Limited,images/M050047.jpg,Escalator; Lighting; None; Retail Frontage; Subway,,,40.758664,-73.982399
M050043,8,1221 SIXTH AVENUE,McGraw-Hill,1971,1970s,Plaza; Sunken Plaza,28613.17,24 Hours,True,Full or partial,10,Extensive,True,True,True,True,True,True,False,86,Extensive,images/M050043.jpg,Bicycle Parking; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Subway; Tables; Trees within Space,,Open Air Cafe,40.759381,-73.982067
M050042,9,1251 SIXTH AVENUE,1251 Avenue of the Americas,1970,1970s,Plaza,29819.9,24 Hours,True,Full or partial,0,Limited,False,False,False,False,False,False,False,0,Limited,images/M050042.jpg,None,,,40.759971,-73.981612
M050037,10,1285 SIXTH AVENUE,PaineWebber,1984,1980s,Pedestrian Circulation Space; Sidewalk Widening; Through Block Galleria; Urban Plaza,9944.1,24 Hours; Restricted Hours,True,Full or partial,13,Extensive,True,True,True,True,True,True,True,100,Extensive,images/M050037.jpg,Artwork; Drinking Fountain; Escalator; Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature,,,40.761165,-73.980533
M050030,11,1301 SIXTH AVENUE,,1964,1960s,Arcade; Plaza,18376.07,24 Hours,True,Full or partial,0,Limited,False,False,False,False,False,False,False,0,Limited,images/M050030.jpg,None,,,40.761768,-73.980027
M050026,12,1330 SIXTH AVENUE,,1965,1960s,Plaza,6312.0,24 Hours,True,Full or partial,8,Extensive,True,True,True,True,True,True,False,86,Extensive,images/M050026.jpg,Artwork; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables,,,40.761966,-73.978478
M050022,13,1350 SIXTH AVENUE,Men's Apparel,1966,1960s,Plaza,5879.5,24 Hours,True,Full or partial,0,Limited,False,False,False,False,False,False,False,0,Limited,images/M050022.jpg,None,,,40.762575,-73.977778
M050021,14,1345 SIXTH AVENUE,Alliance Capital,1968,1960s,Plaza,30171.0,24 Hours,True,Full or partial,11,Extensive,True,True,True,True,True,True,True,100,Extensive,images/M050021.jpg,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees within Space; Water Feature,,Open Air Cafe,40.763064,-73.979254
M050019,15,1370 SIXTH AVENUE,1370 Avenue of the Americas,1971,1970s,Plaza,4449.0,24 Hours,True,Full or partial,4,Moderate,True,False,True,True,True,False,False,57,Moderate,images/M050019.jpg,Lighting; Planting; Plaque/Sign; Seating,,,40.763275,-73.977471
