cell_index,cell_id,borough,nta_id,nta_name,housing_units,median_gross_rent_usd,margin_of_error_usd,rent_percentile,bar_height_m,source_level,primary_source_level,dominant_source_geoid,source_geography_count,source_unit_coverage_share,lower_bound_90_usd,upper_bound_90_usd
0,892a100002fffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,44,896.0,445.0,0.0244,94.8,block_group,block_group,360050516013,1,1.0,451.0,1341.0
1,892a1000063ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,90,1815.9,219.8,0.3951,955.4,mixed,tract,36005051601,2,1.0,1596.1,2035.7
2,892a1000067ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,186,1667.8,201.9,0.2466,614.4,mixed,tract,36005051601,3,1.0,1465.9,1869.7
3,892a100024bffff,Bronx,BX1004,Co-op City,55,1394.0,194.0,0.1054,275.6,block_group,block_group,360050302011,1,1.0,1200.0,1588.0
4,892a1000253ffff,Bronx,BX1004,Co-op City,4458,1271.0,296.0,0.0738,197.9,block_group,block_group,360050302021,1,1.0,975.0,1567.0
5,892a100025bffff,Bronx,BX1004,Co-op City,45,1394.0,194.0,0.1054,275.6,block_group,block_group,360050302011,1,1.0,1200.0,1588.0
7,892a1000383ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,252,1893.2,348.2,0.4714,1149.7,block_group,block_group,360050516012,2,1.0,1545.0,2241.4
8,892a1000387ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,229,2219.3,293.4,0.7754,1925.5,block_group,block_group,360050516014,2,1.0,1925.9,2512.7
9,892a1000393ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,286,1121.4,351.7,0.047,137.7,block_group,block_group,360050516013,2,1.0,769.7,1473.1
10,892a1000397ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,172,1079.8,360.1,0.0393,128.4,mixed,block_group,360050516013,2,1.0,719.7,1439.9
11,892a100039bffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,173,1723.2,461.4,0.2983,737.1,mixed,block_group,360050516012,2,1.0,1261.8,2184.6
12,892a10003b3ffff,Bronx,BX1003,Pelham Bay-Country Club-City Island,134,1713.8,244.8,0.2881,713.2,mixed,block_group,360050516014,3,1.0,1469.0,1958.6
13,892a100090fffff,Queens,QN1103,Douglaston-Little Neck,18,1654.0,583.0,0.2305,578.1,block_group,block_group,360811483001,1,1.0,1071.0,2237.0
14,892a1000923ffff,Queens,QN1103,Douglaston-Little Neck,91,1745.8,987.9,0.3237,785.8,mixed,tract,36081148300,2,1.0,757.9,2733.7
15,892a1000927ffff,Queens,QN1103,Douglaston-Little Neck,126,1680.7,509.5,0.2563,639.5,mixed,block_group,360811483001,2,1.0,1171.2,2190.2
16,892a100092bffff,Queens,QN1103,Douglaston-Little Neck,82,1750.0,1033.0,0.3303,797.0,tract,tract,36081148300,1,1.0,717.0,2783.0
17,892a100092fffff,Queens,QN1103,Douglaston-Little Neck,97,1750.0,1033.0,0.3303,797.0,tract,tract,36081148300,1,1.0,717.0,2783.0
18,892a1000937ffff,Queens,QN1103,Douglaston-Little Neck,114,1654.0,583.0,0.2305,578.1,block_group,block_group,360811483001,1,1.0,1071.0,2237.0
19,892a100093bffff,Queens,QN1103,Douglaston-Little Neck,66,1690.4,533.2,0.2651,660.7,mixed,block_group,360811483001,2,1.0,1157.2,2223.6
20,892a1000977ffff,Queens,QN1103,Douglaston-Little Neck,38,1696.9,563.4,0.2727,676.8,mixed,block_group,360811483001,2,1.0,1133.5,2260.3
22,892a1000a2bffff,Queens,QN0702,Whitestone-Beechhurst,803,2092.3,136.6,0.6641,1628.7,block_group,block_group,360810991001,2,1.0,1955.7,2228.9
23,892a1000a67ffff,Queens,QN0702,Whitestone-Beechhurst,433,2148.2,106.5,0.7162,1770.0,mixed,block_group,360810991001,3,1.0,2041.7,2254.7
24,892a1000a6fffff,Queens,QN0702,Whitestone-Beechhurst,159,1945.6,214.1,0.5217,1275.9,mixed,block_group,360810987001,2,1.0,1731.5,2159.7
26,892a1000acbffff,Bronx,BX1002,Throgs Neck-Schuylerville,98,2537.8,682.8,0.8975,2310.8,mixed,block_group,360050118001,2,1.0,1855.0,3220.6
28,892a1000b03ffff,Queens,QN0703,Bay Terrace-Clearview,472,2618.5,373.2,0.923,2396.9,mixed,block_group,360810997042,3,1.0,2245.3,2991.7
29,892a1000b07ffff,Queens,QN0703,Bay Terrace-Clearview,415,2460.8,309.0,0.8741,2240.7,mixed,block_group,360810997042,4,1.0,2151.8,2769.8
30,892a1000b0bffff,Queens,QN0703,Bay Terrace-Clearview,449,2764.6,522.3,0.9538,2494.4,mixed,block_group,360810997051,2,1.0,2242.3,3286.9
31,892a1000b0fffff,Queens,QN0703,Bay Terrace-Clearview,762,1499.9,240.2,0.1465,370.7,mixed,block_group,360810997043,3,1.0,1259.7,1740.1
32,892a1000b13ffff,Queens,QN0703,Bay Terrace-Clearview,292,3207.0,473.0,0.9946,2632.0,tract,tract,36081099703,1,1.0,2734.0,3680.0
33,892a1000b17ffff,Queens,QN0703,Bay Terrace-Clearview,364,3158.9,444.9,0.9922,2622.9,mixed,tract,36081099703,2,1.0,2714.0,3603.8
34,892a1000b1bffff,Queens,QN0703,Bay Terrace-Clearview,537,2300.6,441.4,0.8153,2047.7,mixed,tract,36081099704,3,1.0,1859.2,2742.0
35,892a1000b23ffff,Queens,QN1102,Bayside,167,1871.6,846.9,0.4532,1101.4,mixed,tract,36081109300,2,1.0,1024.7,2718.5
